 Q11 Q12 Q21 Q22
 0.134091e-02 0.134091e-02 0.134091e-02 0.134091e-02
 0.128393e-02 0.128393e-02 0.128393e-02 0.128393e-02
 0.123130e-02 0.123130e-02 0.123130e-02 0.123130e-02
 0.118258e-02 0.118258e-02 0.118258e-02 0.118258e-02
 0.113740e-02 0.113740e-02 0.113740e-02 0.113740e-02
 0.109541e-02 0.109541e-02 0.109541e-02 0.109541e-02
 0.105632e-02 0.105632e-02 0.105632e-02 0.105632e-02
 0.101987e-02 0.101987e-02 0.101987e-02 0.101987e-02
 0.985819e-03 0.985819e-03 0.985819e-03 0.985819e-03
 0.953958e-03 0.953958e-03 0.953958e-03 0.953958e-03
 0.924101e-03 0.924101e-03 0.924101e-03 0.924101e-03
 0.896078e-03 0.896078e-03 0.896078e-03 0.896078e-03
 0.869740e-03 0.869740e-03 0.869740e-03 0.869740e-03
 0.844949e-03 0.844949e-03 0.844949e-03 0.844949e-03
 0.821584e-03 0.821584e-03 0.821584e-03 0.821584e-03
 0.799534e-03 0.799534e-03 0.799534e-03 0.799534e-03
 0.778699e-03 0.778699e-03 0.778699e-03 0.778699e-03
 0.758987e-03 0.758987e-03 0.758987e-03 0.758987e-03
 0.740316e-03 0.740316e-03 0.740316e-03 0.740316e-03
 0.722612e-03 0.722612e-03 0.722612e-03 0.722612e-03
 0.705805e-03 0.705805e-03 0.705805e-03 0.705805e-03
 0.689832e-03 0.689832e-03 0.689832e-03 0.689832e-03
 0.674638e-03 0.674638e-03 0.674638e-03 0.674638e-03
 0.660169e-03 0.660169e-03 0.660169e-03 0.660169e-03
 0.646377e-03 0.646377e-03 0.646377e-03 0.646377e-03
 0.633219e-03 0.633219e-03 0.633219e-03 0.633219e-03
 0.620653e-03 0.620653e-03 0.620653e-03 0.620653e-03
 0.608643e-03 0.608643e-03 0.608643e-03 0.608643e-03
 0.597154e-03 0.597154e-03 0.597154e-03 0.597154e-03
 0.586154e-03 0.586154e-03 0.586154e-03 0.586154e-03
 0.575614e-03 0.575614e-03 0.575614e-03 0.575614e-03
 0.565506e-03 0.565506e-03 0.565506e-03 0.565506e-03
 0.555806e-03 0.555806e-03 0.555806e-03 0.555806e-03
 0.546490e-03 0.546490e-03 0.546490e-03 0.546490e-03
 0.537537e-03 0.537537e-03 0.537537e-03 0.537537e-03
 0.528926e-03 0.528926e-03 0.528926e-03 0.528926e-03
 0.520638e-03 0.520638e-03 0.520638e-03 0.520638e-03
 0.512657e-03 0.512657e-03 0.512657e-03 0.512657e-03
 0.504965e-03 0.504965e-03 0.504965e-03 0.504965e-03
 0.497548e-03 0.497548e-03 0.497548e-03 0.497548e-03
 0.490391e-03 0.490391e-03 0.490391e-03 0.490391e-03
 0.483481e-03 0.483481e-03 0.483481e-03 0.483481e-03
 0.476806e-03 0.476806e-03 0.476806e-03 0.476806e-03
 0.470354e-03 0.470354e-03 0.470354e-03 0.470354e-03
 0.464114e-03 0.464114e-03 0.464114e-03 0.464114e-03
 0.458077e-03 0.458077e-03 0.458077e-03 0.458077e-03
 0.452231e-03 0.452231e-03 0.452231e-03 0.452231e-03
 0.446569e-03 0.446569e-03 0.446569e-03 0.446569e-03
 0.441081e-03 0.441081e-03 0.441081e-03 0.441081e-03
 0.435760e-03 0.435760e-03 0.435760e-03 0.435760e-03
 0.430599e-03 0.430599e-03 0.430599e-03 0.430599e-03
 0.425589e-03 0.425589e-03 0.425589e-03 0.425589e-03
 0.420725e-03 0.420725e-03 0.420725e-03 0.420725e-03
 0.416001e-03 0.416001e-03 0.416001e-03 0.416001e-03
 0.411409e-03 0.411409e-03 0.411409e-03 0.411409e-03
 0.406945e-03 0.406945e-03 0.406945e-03 0.406945e-03
 0.402603e-03 0.402603e-03 0.402603e-03 0.402603e-03
 0.398379e-03 0.398379e-03 0.398379e-03 0.398379e-03
 0.394266e-03 0.394266e-03 0.394266e-03 0.394266e-03
 0.390262e-03 0.390262e-03 0.390262e-03 0.390262e-03
 0.386361e-03 0.386361e-03 0.386361e-03 0.386361e-03
 0.382560e-03 0.382560e-03 0.382560e-03 0.382560e-03
 0.378854e-03 0.378854e-03 0.378854e-03 0.378854e-03
 0.375240e-03 0.375240e-03 0.375240e-03 0.375240e-03
 0.371715e-03 0.371715e-03 0.371715e-03 0.371715e-03
 0.368275e-03 0.368275e-03 0.368275e-03 0.368275e-03
 0.364916e-03 0.364916e-03 0.364916e-03 0.364916e-03
 0.361637e-03 0.361637e-03 0.361637e-03 0.361637e-03
 0.358434e-03 0.358434e-03 0.358434e-03 0.358434e-03
 0.355304e-03 0.355304e-03 0.355304e-03 0.355304e-03
 0.352244e-03 0.352244e-03 0.352244e-03 0.352244e-03
 0.349254e-03 0.349254e-03 0.349254e-03 0.349254e-03
 0.346329e-03 0.346329e-03 0.346329e-03 0.346329e-03
 0.343467e-03 0.343467e-03 0.343467e-03 0.343467e-03
 0.340667e-03 0.340667e-03 0.340667e-03 0.340667e-03
 0.337927e-03 0.337927e-03 0.337927e-03 0.337927e-03
 0.335244e-03 0.335244e-03 0.335244e-03 0.335244e-03
 0.332616e-03 0.332616e-03 0.332616e-03 0.332616e-03
 0.330042e-03 0.330042e-03 0.330042e-03 0.330042e-03
 0.327521e-03 0.327521e-03 0.327521e-03 0.327521e-03
 0.325049e-03 0.325049e-03 0.325049e-03 0.325049e-03
 0.322626e-03 0.322626e-03 0.322626e-03 0.322626e-03
 0.320251e-03 0.320251e-03 0.320251e-03 0.320251e-03
 0.317921e-03 0.317921e-03 0.317921e-03 0.317921e-03
 0.315636e-03 0.315636e-03 0.315636e-03 0.315636e-03
 0.313394e-03 0.313394e-03 0.313394e-03 0.313394e-03
 0.311194e-03 0.311194e-03 0.311194e-03 0.311194e-03
 0.309034e-03 0.309034e-03 0.309034e-03 0.309034e-03
 0.306913e-03 0.306913e-03 0.306913e-03 0.306913e-03
 0.304830e-03 0.304830e-03 0.304830e-03 0.304830e-03
 0.302785e-03 0.302785e-03 0.302785e-03 0.302785e-03
 0.300776e-03 0.300776e-03 0.300776e-03 0.300776e-03
 0.298801e-03 0.298801e-03 0.298801e-03 0.298801e-03
 0.296861e-03 0.296861e-03 0.296861e-03 0.296861e-03
 0.294953e-03 0.294953e-03 0.294953e-03 0.294953e-03
 0.293078e-03 0.293078e-03 0.293078e-03 0.293078e-03
 0.291234e-03 0.291234e-03 0.291234e-03 0.291234e-03
 0.289421e-03 0.289421e-03 0.289421e-03 0.289421e-03
 0.287637e-03 0.287637e-03 0.287637e-03 0.287637e-03
 0.285882e-03 0.285882e-03 0.285882e-03 0.285882e-03
 0.284155e-03 0.284155e-03 0.284155e-03 0.284155e-03
 0.282456e-03 0.282456e-03 0.282456e-03 0.282456e-03
 0.280783e-03 0.280783e-03 0.280783e-03 0.280783e-03
 0.279136e-03 0.279136e-03 0.279136e-03 0.279136e-03
 0.277514e-03 0.277514e-03 0.277514e-03 0.277514e-03
 0.275917e-03 0.275917e-03 0.275917e-03 0.275917e-03
 0.274345e-03 0.274345e-03 0.274345e-03 0.274345e-03
 0.272795e-03 0.272795e-03 0.272795e-03 0.272795e-03
 0.271269e-03 0.271269e-03 0.271269e-03 0.271269e-03
 0.269765e-03 0.269765e-03 0.269765e-03 0.269765e-03
 0.268283e-03 0.268283e-03 0.268283e-03 0.268283e-03
 0.266822e-03 0.266822e-03 0.266822e-03 0.266822e-03
 0.265381e-03 0.265381e-03 0.265381e-03 0.265381e-03
 0.263962e-03 0.263962e-03 0.263962e-03 0.263962e-03
 0.262562e-03 0.262562e-03 0.262562e-03 0.262562e-03
 0.261181e-03 0.261181e-03 0.261181e-03 0.261181e-03
 0.259819e-03 0.259819e-03 0.259819e-03 0.259819e-03
 0.258476e-03 0.258476e-03 0.258476e-03 0.258476e-03
 0.257151e-03 0.257151e-03 0.257151e-03 0.257151e-03
 0.255844e-03 0.255844e-03 0.255844e-03 0.255844e-03
 0.254553e-03 0.254553e-03 0.254553e-03 0.254553e-03
 0.253280e-03 0.253280e-03 0.253280e-03 0.253280e-03
 0.252024e-03 0.252024e-03 0.252024e-03 0.252024e-03
 0.250783e-03 0.250783e-03 0.250783e-03 0.250783e-03
 0.249559e-03 0.249559e-03 0.249559e-03 0.249559e-03
 0.248350e-03 0.248350e-03 0.248350e-03 0.248350e-03
 0.247156e-03 0.247156e-03 0.247156e-03 0.247156e-03
 0.245977e-03 0.245977e-03 0.245977e-03 0.245977e-03
 0.244812e-03 0.244812e-03 0.244812e-03 0.244812e-03
 0.243662e-03 0.243662e-03 0.243662e-03 0.243662e-03
 0.242526e-03 0.242526e-03 0.242526e-03 0.242526e-03
 0.241403e-03 0.241403e-03 0.241403e-03 0.241403e-03
 0.240294e-03 0.240294e-03 0.240294e-03 0.240294e-03
 0.239198e-03 0.239198e-03 0.239198e-03 0.239198e-03
 0.238115e-03 0.238115e-03 0.238115e-03 0.238115e-03
 0.237045e-03 0.237045e-03 0.237045e-03 0.237045e-03
 0.235987e-03 0.235987e-03 0.235987e-03 0.235987e-03
 0.234941e-03 0.234941e-03 0.234941e-03 0.234941e-03
 0.233907e-03 0.233907e-03 0.233907e-03 0.233907e-03
 0.232885e-03 0.232885e-03 0.232885e-03 0.232885e-03
 0.231874e-03 0.231874e-03 0.231874e-03 0.231874e-03
 0.230875e-03 0.230875e-03 0.230875e-03 0.230875e-03
 0.229886e-03 0.229886e-03 0.229886e-03 0.229886e-03
 0.228908e-03 0.228908e-03 0.228908e-03 0.228908e-03
 0.227941e-03 0.227941e-03 0.227941e-03 0.227941e-03
 0.226985e-03 0.226985e-03 0.226985e-03 0.226985e-03
 0.226039e-03 0.226039e-03 0.226039e-03 0.226039e-03
 0.225102e-03 0.225102e-03 0.225102e-03 0.225102e-03
 0.224176e-03 0.224176e-03 0.224176e-03 0.224176e-03
 0.223259e-03 0.223259e-03 0.223259e-03 0.223259e-03
 0.222352e-03 0.222352e-03 0.222352e-03 0.222352e-03
 0.221455e-03 0.221455e-03 0.221455e-03 0.221455e-03
 0.220566e-03 0.220566e-03 0.220566e-03 0.220566e-03
 0.137468e+04 0.137468e+04 0.137468e+04 0.137468e+04
 0.871495e+03 0.871495e+03 0.871495e+03 0.871495e+03
 0.509995e+03 0.509995e+03 0.509995e+03 0.509995e+03
 0.313517e+03 0.313517e+03 0.313517e+03 0.313517e+03
 0.203918e+03 0.203918e+03 0.203918e+03 0.203918e+03
 0.139146e+03 0.139146e+03 0.139146e+03 0.139146e+03
 0.987584e+02 0.987584e+02 0.987584e+02 0.987584e+02
 0.723805e+02 0.723805e+02 0.723805e+02 0.723805e+02
 0.544673e+02 0.544673e+02 0.544673e+02 0.544673e+02
 0.419013e+02 0.419013e+02 0.419013e+02 0.419013e+02
 0.328336e+02 0.328336e+02 0.328336e+02 0.328336e+02
 0.261388e+02 0.261388e+02 0.261388e+02 0.261388e+02
 0.210920e+02 0.210920e+02 0.210920e+02 0.210920e+02
 0.172199e+02 0.172199e+02 0.172199e+02 0.172199e+02
 0.142027e+02 0.142027e+02 0.142027e+02 0.142027e+02
 0.118209e+02 0.118209e+02 0.118209e+02 0.118209e+02
 0.991745e+01 0.991745e+01 0.991745e+01 0.991745e+01
 0.837875e+01 0.837875e+01 0.837875e+01 0.837875e+01
 0.712259e+01 0.712259e+01 0.712259e+01 0.712259e+01
 0.608918e+01 0.608918e+01 0.608918e+01 0.608918e+01
 0.523100e+01 0.523100e+01 0.523100e+01 0.523100e+01
 0.451401e+01 0.451401e+01 0.451401e+01 0.451401e+01
 0.391058e+01 0.391058e+01 0.391058e+01 0.391058e+01
 0.339942e+01 0.339942e+01 0.339942e+01 0.339942e+01
 0.296389e+01 0.296389e+01 0.296389e+01 0.296389e+01
 0.259114e+01 0.259114e+01 0.259114e+01 0.259114e+01
 0.227059e+01 0.227059e+01 0.227059e+01 0.227059e+01
 0.199355e+01 0.199355e+01 0.199355e+01 0.199355e+01
 0.175298e+01 0.175298e+01 0.175298e+01 0.175298e+01
 0.156817e+01 0.156817e+01 0.156817e+01 0.156817e+01
 0.140730e+01 0.140730e+01 0.140730e+01 0.140730e+01
 0.126704e+01 0.126704e+01 0.126704e+01 0.126704e+01
 0.114410e+01 0.114410e+01 0.114410e+01 0.114410e+01
 0.103607e+01 0.103607e+01 0.103607e+01 0.103607e+01
 0.940805e+00 0.940805e+00 0.940805e+00 0.940805e+00
 0.856464e+00 0.856464e+00 0.856464e+00 0.856464e+00
 0.781595e+00 0.781595e+00 0.781595e+00 0.781595e+00
 0.714953e+00 0.714953e+00 0.714953e+00 0.714953e+00
 0.655465e+00 0.655465e+00 0.655465e+00 0.655465e+00
 0.602218e+00 0.602218e+00 0.602218e+00 0.602218e+00
 0.554430e+00 0.554430e+00 0.554430e+00 0.554430e+00
 0.511438e+00 0.511438e+00 0.511438e+00 0.511438e+00
