 R11 R12 R21 R22
 -0.193239e-02 -0.193239e-02 -0.193239e-02 -0.193239e-02
 -0.189059e-02 -0.189059e-02 -0.189059e-02 -0.189059e-02
 -0.185056e-02 -0.185056e-02 -0.185056e-02 -0.185056e-02
 -0.181218e-02 -0.181218e-02 -0.181218e-02 -0.181218e-02
 -0.177535e-02 -0.177535e-02 -0.177535e-02 -0.177535e-02
 -0.173998e-02 -0.173998e-02 -0.173998e-02 -0.173998e-02
 -0.170597e-02 -0.170597e-02 -0.170597e-02 -0.170597e-02
 -0.167325e-02 -0.167325e-02 -0.167325e-02 -0.167325e-02
 -0.164174e-02 -0.164174e-02 -0.164174e-02 -0.164174e-02
 -0.161138e-02 -0.161138e-02 -0.161138e-02 -0.161138e-02
 -0.158211e-02 -0.158211e-02 -0.158211e-02 -0.158211e-02
 -0.155386e-02 -0.155386e-02 -0.155386e-02 -0.155386e-02
 -0.152658e-02 -0.152658e-02 -0.152658e-02 -0.152658e-02
 -0.150023e-02 -0.150023e-02 -0.150023e-02 -0.150023e-02
 -0.147475e-02 -0.147475e-02 -0.147475e-02 -0.147475e-02
 -0.145012e-02 -0.145012e-02 -0.145012e-02 -0.145012e-02
 -0.142627e-02 -0.142627e-02 -0.142627e-02 -0.142627e-02
 -0.140319e-02 -0.140319e-02 -0.140319e-02 -0.140319e-02
 -0.138082e-02 -0.138082e-02 -0.138082e-02 -0.138082e-02
 -0.135915e-02 -0.135915e-02 -0.135915e-02 -0.135915e-02
 -0.133813e-02 -0.133813e-02 -0.133813e-02 -0.133813e-02
 -0.131775e-02 -0.131775e-02 -0.131775e-02 -0.131775e-02
 -0.129797e-02 -0.129797e-02 -0.129797e-02 -0.129797e-02
 -0.127877e-02 -0.127877e-02 -0.127877e-02 -0.127877e-02
 -0.126012e-02 -0.126012e-02 -0.126012e-02 -0.126012e-02
 -0.124200e-02 -0.124200e-02 -0.124200e-02 -0.124200e-02
 -0.122438e-02 -0.122438e-02 -0.122438e-02 -0.122438e-02
 -0.120726e-02 -0.120726e-02 -0.120726e-02 -0.120726e-02
 -0.119061e-02 -0.119061e-02 -0.119061e-02 -0.119061e-02
 -0.117440e-02 -0.117440e-02 -0.117440e-02 -0.117440e-02
 -0.115863e-02 -0.115863e-02 -0.115863e-02 -0.115863e-02
 -0.114328e-02 -0.114328e-02 -0.114328e-02 -0.114328e-02
 -0.112832e-02 -0.112832e-02 -0.112832e-02 -0.112832e-02
 -0.111375e-02 -0.111375e-02 -0.111375e-02 -0.111375e-02
 -0.109955e-02 -0.109955e-02 -0.109955e-02 -0.109955e-02
 -0.108571e-02 -0.108571e-02 -0.108571e-02 -0.108571e-02
 -0.107222e-02 -0.107222e-02 -0.107222e-02 -0.107222e-02
 -0.105906e-02 -0.105906e-02 -0.105906e-02 -0.105906e-02
 -0.104621e-02 -0.104621e-02 -0.104621e-02 -0.104621e-02
 -0.103368e-02 -0.103368e-02 -0.103368e-02 -0.103368e-02
 -0.102145e-02 -0.102145e-02 -0.102145e-02 -0.102145e-02
 -0.100950e-02 -0.100950e-02 -0.100950e-02 -0.100950e-02
 -0.997837e-03 -0.997837e-03 -0.997837e-03 -0.997837e-03
 -0.986441e-03 -0.986441e-03 -0.986441e-03 -0.986441e-03
 -0.975304e-03 -0.975304e-03 -0.975304e-03 -0.975304e-03
 -0.964420e-03 -0.964420e-03 -0.964420e-03 -0.964420e-03
 -0.953779e-03 -0.953779e-03 -0.953779e-03 -0.953779e-03
 -0.943374e-03 -0.943374e-03 -0.943374e-03 -0.943374e-03
 -0.933198e-03 -0.933198e-03 -0.933198e-03 -0.933198e-03
 -0.923242e-03 -0.923242e-03 -0.923242e-03 -0.923242e-03
 -0.913500e-03 -0.913500e-03 -0.913500e-03 -0.913500e-03
 -0.903966e-03 -0.903966e-03 -0.903966e-03 -0.903966e-03
 -0.894633e-03 -0.894633e-03 -0.894633e-03 -0.894633e-03
 -0.885494e-03 -0.885494e-03 -0.885494e-03 -0.885494e-03
 -0.876545e-03 -0.876545e-03 -0.876545e-03 -0.876545e-03
 -0.867778e-03 -0.867778e-03 -0.867778e-03 -0.867778e-03
 -0.859190e-03 -0.859190e-03 -0.859190e-03 -0.859190e-03
 -0.850773e-03 -0.850773e-03 -0.850773e-03 -0.850773e-03
 -0.842525e-03 -0.842525e-03 -0.842525e-03 -0.842525e-03
 -0.834439e-03 -0.834439e-03 -0.834439e-03 -0.834439e-03
 -0.826510e-03 -0.826510e-03 -0.826510e-03 -0.826510e-03
