 R11 R12 R21 R22
 -0.380481e-01 -0.380481e-01 -0.380481e-01 -0.380481e-01
 -0.344199e-01 -0.344199e-01 -0.344199e-01 -0.344199e-01
 -0.313296e-01 -0.313296e-01 -0.313296e-01 -0.313296e-01
 -0.286775e-01 -0.286775e-01 -0.286775e-01 -0.286775e-01
 -0.263853e-01 -0.263853e-01 -0.263853e-01 -0.263853e-01
 -0.243916e-01 -0.243916e-01 -0.243916e-01 -0.243916e-01
 -0.226470e-01 -0.226470e-01 -0.226470e-01 -0.226470e-01
 -0.211120e-01 -0.211120e-01 -0.211120e-01 -0.211120e-01
 -0.197544e-01 -0.197544e-01 -0.197544e-01 -0.197544e-01
 -0.185479e-01 -0.185479e-01 -0.185479e-01 -0.185479e-01
 -0.174710e-01 -0.174710e-01 -0.174710e-01 -0.174710e-01
 -0.165056e-01 -0.165056e-01 -0.165056e-01 -0.165056e-01
 -0.156367e-01 -0.156367e-01 -0.156367e-01 -0.156367e-01
 -0.148518e-01 -0.148518e-01 -0.148518e-01 -0.148518e-01
 -0.141402e-01 -0.141402e-01 -0.141402e-01 -0.141402e-01
 -0.134930e-01 -0.134930e-01 -0.134930e-01 -0.134930e-01
 -0.129025e-01 -0.129025e-01 -0.129025e-01 -0.129025e-01
 -0.123621e-01 -0.123621e-01 -0.123621e-01 -0.123621e-01
 -0.118662e-01 -0.118662e-01 -0.118662e-01 -0.118662e-01
 -0.114098e-01 -0.114098e-01 -0.114098e-01 -0.114098e-01
 -0.109887e-01 -0.109887e-01 -0.109887e-01 -0.109887e-01
 -0.105993e-01 -0.105993e-01 -0.105993e-01 -0.105993e-01
 -0.102383e-01 -0.102383e-01 -0.102383e-01 -0.102383e-01
 -0.990299e-02 -0.990299e-02 -0.990299e-02 -0.990299e-02
 -0.959078e-02 -0.959078e-02 -0.959078e-02 -0.959078e-02
 -0.929951e-02 -0.929951e-02 -0.929951e-02 -0.929951e-02
 -0.902726e-02 -0.902726e-02 -0.902726e-02 -0.902726e-02
 -0.877231e-02 -0.877231e-02 -0.877231e-02 -0.877231e-02
 -0.853314e-02 -0.853314e-02 -0.853314e-02 -0.853314e-02
 -0.830838e-02 -0.830838e-02 -0.830838e-02 -0.830838e-02
 -0.809683e-02 -0.809683e-02 -0.809683e-02 -0.809683e-02
 -0.789738e-02 -0.789738e-02 -0.789738e-02 -0.789738e-02
 -0.770907e-02 -0.770907e-02 -0.770907e-02 -0.770907e-02
 -0.753101e-02 -0.753101e-02 -0.753101e-02 -0.753101e-02
 -0.736240e-02 -0.736240e-02 -0.736240e-02 -0.736240e-02
 -0.720254e-02 -0.720254e-02 -0.720254e-02 -0.720254e-02
 -0.705077e-02 -0.705077e-02 -0.705077e-02 -0.705077e-02
 -0.690649e-02 -0.690649e-02 -0.690649e-02 -0.690649e-02
 -0.676919e-02 -0.676919e-02 -0.676919e-02 -0.676919e-02
 -0.663835e-02 -0.663835e-02 -0.663835e-02 -0.663835e-02
 -0.651355e-02 -0.651355e-02 -0.651355e-02 -0.651355e-02
 -0.611865e-02 -0.611865e-02 -0.611865e-02 -0.611865e-02
 -0.556300e-02 -0.556300e-02 -0.556300e-02 -0.556300e-02
 -0.511960e-02 -0.511960e-02 -0.511960e-02 -0.511960e-02
 -0.475657e-02 -0.475657e-02 -0.475657e-02 -0.475657e-02
 -0.445293e-02 -0.445293e-02 -0.445293e-02 -0.445293e-02
 -0.419436e-02 -0.419436e-02 -0.419436e-02 -0.419436e-02
 -0.397081e-02 -0.397081e-02 -0.397081e-02 -0.397081e-02
 -0.377501e-02 -0.377501e-02 -0.377501e-02 -0.377501e-02
 -0.360162e-02 -0.360162e-02 -0.360162e-02 -0.360162e-02
 -0.344659e-02 -0.344659e-02 -0.344659e-02 -0.344659e-02
 -0.330682e-02 -0.330682e-02 -0.330682e-02 -0.330682e-02
 -0.317991e-02 -0.317991e-02 -0.317991e-02 -0.317991e-02
 -0.306393e-02 -0.306393e-02 -0.306393e-02 -0.306393e-02
 -0.295734e-02 -0.295734e-02 -0.295734e-02 -0.295734e-02
 -0.285891e-02 -0.285891e-02 -0.285891e-02 -0.285891e-02
 -0.276761e-02 -0.276761e-02 -0.276761e-02 -0.276761e-02
 -0.268259e-02 -0.268259e-02 -0.268259e-02 -0.268259e-02
 -0.260315e-02 -0.260315e-02 -0.260315e-02 -0.260315e-02
 -0.252867e-02 -0.252867e-02 -0.252867e-02 -0.252867e-02
 -0.245866e-02 -0.245866e-02 -0.245866e-02 -0.245866e-02
 -0.239267e-02 -0.239267e-02 -0.239267e-02 -0.239267e-02
 -0.233034e-02 -0.233034e-02 -0.233034e-02 -0.233034e-02
 -0.227132e-02 -0.227132e-02 -0.227132e-02 -0.227132e-02
 -0.221534e-02 -0.221534e-02 -0.221534e-02 -0.221534e-02
 -0.216214e-02 -0.216214e-02 -0.216214e-02 -0.216214e-02
 -0.211151e-02 -0.211151e-02 -0.211151e-02 -0.211151e-02
 -0.206324e-02 -0.206324e-02 -0.206324e-02 -0.206324e-02
 -0.201717e-02 -0.201717e-02 -0.201717e-02 -0.201717e-02
 -0.197313e-02 -0.197313e-02 -0.197313e-02 -0.197313e-02
 -0.193099e-02 -0.193099e-02 -0.193099e-02 -0.193099e-02
 -0.189061e-02 -0.189061e-02 -0.189061e-02 -0.189061e-02
 -0.185189e-02 -0.185189e-02 -0.185189e-02 -0.185189e-02
 -0.181471e-02 -0.181471e-02 -0.181471e-02 -0.181471e-02
 -0.177899e-02 -0.177899e-02 -0.177899e-02 -0.177899e-02
 -0.174464e-02 -0.174464e-02 -0.174464e-02 -0.174464e-02
 -0.171158e-02 -0.171158e-02 -0.171158e-02 -0.171158e-02
 -0.167973e-02 -0.167973e-02 -0.167973e-02 -0.167973e-02
 -0.164903e-02 -0.164903e-02 -0.164903e-02 -0.164903e-02
 -0.161942e-02 -0.161942e-02 -0.161942e-02 -0.161942e-02
 -0.159084e-02 -0.159084e-02 -0.159084e-02 -0.159084e-02
 -0.156323e-02 -0.156323e-02 -0.156323e-02 -0.156323e-02
 -0.153655e-02 -0.153655e-02 -0.153655e-02 -0.153655e-02
 -0.151075e-02 -0.151075e-02 -0.151075e-02 -0.151075e-02
 -0.148579e-02 -0.148579e-02 -0.148579e-02 -0.148579e-02
 -0.146163e-02 -0.146163e-02 -0.146163e-02 -0.146163e-02
 -0.143823e-02 -0.143823e-02 -0.143823e-02 -0.143823e-02
 -0.141556e-02 -0.141556e-02 -0.141556e-02 -0.141556e-02
 -0.139358e-02 -0.139358e-02 -0.139358e-02 -0.139358e-02
 -0.137226e-02 -0.137226e-02 -0.137226e-02 -0.137226e-02
 -0.135158e-02 -0.135158e-02 -0.135158e-02 -0.135158e-02
 -0.133150e-02 -0.133150e-02 -0.133150e-02 -0.133150e-02
 -0.131201e-02 -0.131201e-02 -0.131201e-02 -0.131201e-02
 -0.129307e-02 -0.129307e-02 -0.129307e-02 -0.129307e-02
 -0.127467e-02 -0.127467e-02 -0.127467e-02 -0.127467e-02
 -0.125678e-02 -0.125678e-02 -0.125678e-02 -0.125678e-02
 -0.123938e-02 -0.123938e-02 -0.123938e-02 -0.123938e-02
 -0.122245e-02 -0.122245e-02 -0.122245e-02 -0.122245e-02
 -0.120598e-02 -0.120598e-02 -0.120598e-02 -0.120598e-02
 -0.118994e-02 -0.118994e-02 -0.118994e-02 -0.118994e-02
 -0.117432e-02 -0.117432e-02 -0.117432e-02 -0.117432e-02
 -0.115911e-02 -0.115911e-02 -0.115911e-02 -0.115911e-02
 -0.114429e-02 -0.114429e-02 -0.114429e-02 -0.114429e-02
 -0.112984e-02 -0.112984e-02 -0.112984e-02 -0.112984e-02
 -0.111575e-02 -0.111575e-02 -0.111575e-02 -0.111575e-02
 -0.110201e-02 -0.110201e-02 -0.110201e-02 -0.110201e-02
 -0.108861e-02 -0.108861e-02 -0.108861e-02 -0.108861e-02
 -0.107553e-02 -0.107553e-02 -0.107553e-02 -0.107553e-02
 -0.106276e-02 -0.106276e-02 -0.106276e-02 -0.106276e-02
 -0.105030e-02 -0.105030e-02 -0.105030e-02 -0.105030e-02
 -0.103813e-02 -0.103813e-02 -0.103813e-02 -0.103813e-02
 -0.102623e-02 -0.102623e-02 -0.102623e-02 -0.102623e-02
 -0.101462e-02 -0.101462e-02 -0.101462e-02 -0.101462e-02
 -0.100326e-02 -0.100326e-02 -0.100326e-02 -0.100326e-02
 -0.992161e-03 -0.992161e-03 -0.992161e-03 -0.992161e-03
 -0.981308e-03 -0.981308e-03 -0.981308e-03 -0.981308e-03
 -0.970694e-03 -0.970694e-03 -0.970694e-03 -0.970694e-03
 -0.960310e-03 -0.960310e-03 -0.960310e-03 -0.960310e-03
 -0.950150e-03 -0.950150e-03 -0.950150e-03 -0.950150e-03
 -0.940207e-03 -0.940207e-03 -0.940207e-03 -0.940207e-03
 -0.930475e-03 -0.930475e-03 -0.930475e-03 -0.930475e-03
 -0.920946e-03 -0.920946e-03 -0.920946e-03 -0.920946e-03
 -0.911614e-03 -0.911614e-03 -0.911614e-03 -0.911614e-03
 -0.902474e-03 -0.902474e-03 -0.902474e-03 -0.902474e-03
 -0.893519e-03 -0.893519e-03 -0.893519e-03 -0.893519e-03
 -0.884745e-03 -0.884745e-03 -0.884745e-03 -0.884745e-03
 -0.876146e-03 -0.876146e-03 -0.876146e-03 -0.876146e-03
 -0.867717e-03 -0.867717e-03 -0.867717e-03 -0.867717e-03
 -0.859452e-03 -0.859452e-03 -0.859452e-03 -0.859452e-03
 -0.851348e-03 -0.851348e-03 -0.851348e-03 -0.851348e-03
 -0.843400e-03 -0.843400e-03 -0.843400e-03 -0.843400e-03
 -0.835603e-03 -0.835603e-03 -0.835603e-03 -0.835603e-03
 -0.827953e-03 -0.827953e-03 -0.827953e-03 -0.827953e-03
 -0.820445e-03 -0.820445e-03 -0.820445e-03 -0.820445e-03
 -0.813077e-03 -0.813077e-03 -0.813077e-03 -0.813077e-03
 -0.805845e-03 -0.805845e-03 -0.805845e-03 -0.805845e-03
 -0.798744e-03 -0.798744e-03 -0.798744e-03 -0.798744e-03
 -0.791771e-03 -0.791771e-03 -0.791771e-03 -0.791771e-03
 -0.784922e-03 -0.784922e-03 -0.784922e-03 -0.784922e-03
 -0.778195e-03 -0.778195e-03 -0.778195e-03 -0.778195e-03
 -0.771587e-03 -0.771587e-03 -0.771587e-03 -0.771587e-03
 -0.765093e-03 -0.765093e-03 -0.765093e-03 -0.765093e-03
 -0.758712e-03 -0.758712e-03 -0.758712e-03 -0.758712e-03
 -0.752439e-03 -0.752439e-03 -0.752439e-03 -0.752439e-03
 -0.746275e-03 -0.746275e-03 -0.746275e-03 -0.746275e-03
 -0.740214e-03 -0.740214e-03 -0.740214e-03 -0.740214e-03
 -0.734251e-03 -0.734251e-03 -0.734251e-03 -0.734251e-03
 -0.728390e-03 -0.728390e-03 -0.728390e-03 -0.728390e-03
 -0.722624e-03 -0.722624e-03 -0.722624e-03 -0.722624e-03
 -0.716952e-03 -0.716952e-03 -0.716952e-03 -0.716952e-03
 -0.711372e-03 -0.711372e-03 -0.711372e-03 -0.711372e-03
 -0.705882e-03 -0.705882e-03 -0.705882e-03 -0.705882e-03
 -0.700479e-03 -0.700479e-03 -0.700479e-03 -0.700479e-03
 -0.695161e-03 -0.695161e-03 -0.695161e-03 -0.695161e-03
 -0.689926e-03 -0.689926e-03 -0.689926e-03 -0.689926e-03
 -0.684773e-03 -0.684773e-03 -0.684773e-03 -0.684773e-03
 -0.679699e-03 -0.679699e-03 -0.679699e-03 -0.679699e-03
 -0.674702e-03 -0.674702e-03 -0.674702e-03 -0.674702e-03
 -0.669782e-03 -0.669782e-03 -0.669782e-03 -0.669782e-03
 -0.664935e-03 -0.664935e-03 -0.664935e-03 -0.664935e-03
 -0.660161e-03 -0.660161e-03 -0.660161e-03 -0.660161e-03
 -0.655458e-03 -0.655458e-03 -0.655458e-03 -0.655458e-03
 -0.650823e-03 -0.650823e-03 -0.650823e-03 -0.650823e-03
 -0.646257e-03 -0.646257e-03 -0.646257e-03 -0.646257e-03
 -0.641757e-03 -0.641757e-03 -0.641757e-03 -0.641757e-03
 -0.637321e-03 -0.637321e-03 -0.637321e-03 -0.637321e-03
 -0.632949e-03 -0.632949e-03 -0.632949e-03 -0.632949e-03
 -0.628639e-03 -0.628639e-03 -0.628639e-03 -0.628639e-03
 -0.624390e-03 -0.624390e-03 -0.624390e-03 -0.624390e-03
 -0.620200e-03 -0.620200e-03 -0.620200e-03 -0.620200e-03
 -0.616068e-03 -0.616068e-03 -0.616068e-03 -0.616068e-03
 -0.611993e-03 -0.611993e-03 -0.611993e-03 -0.611993e-03
 -0.607974e-03 -0.607974e-03 -0.607974e-03 -0.607974e-03
 -0.604009e-03 -0.604009e-03 -0.604009e-03 -0.604009e-03
 -0.600098e-03 -0.600098e-03 -0.600098e-03 -0.600098e-03
 -0.596239e-03 -0.596239e-03 -0.596239e-03 -0.596239e-03
 -0.592432e-03 -0.592432e-03 -0.592432e-03 -0.592432e-03
 -0.588675e-03 -0.588675e-03 -0.588675e-03 -0.588675e-03
 -0.584967e-03 -0.584967e-03 -0.584967e-03 -0.584967e-03
 -0.581308e-03 -0.581308e-03 -0.581308e-03 -0.581308e-03
 -0.577696e-03 -0.577696e-03 -0.577696e-03 -0.577696e-03
 -0.574130e-03 -0.574130e-03 -0.574130e-03 -0.574130e-03
 -0.570610e-03 -0.570610e-03 -0.570610e-03 -0.570610e-03
 -0.567135e-03 -0.567135e-03 -0.567135e-03 -0.567135e-03
 -0.563704e-03 -0.563704e-03 -0.563704e-03 -0.563704e-03
 -0.560315e-03 -0.560315e-03 -0.560315e-03 -0.560315e-03
 -0.556969e-03 -0.556969e-03 -0.556969e-03 -0.556969e-03
 -0.553664e-03 -0.553664e-03 -0.553664e-03 -0.553664e-03
 -0.550400e-03 -0.550400e-03 -0.550400e-03 -0.550400e-03
 -0.547175e-03 -0.547175e-03 -0.547175e-03 -0.547175e-03
 -0.543990e-03 -0.543990e-03 -0.543990e-03 -0.543990e-03
 -0.540843e-03 -0.540843e-03 -0.540843e-03 -0.540843e-03
 -0.537734e-03 -0.537734e-03 -0.537734e-03 -0.537734e-03
 -0.534662e-03 -0.534662e-03 -0.534662e-03 -0.534662e-03
 -0.531626e-03 -0.531626e-03 -0.531626e-03 -0.531626e-03
 -0.528626e-03 -0.528626e-03 -0.528626e-03 -0.528626e-03
 -0.525661e-03 -0.525661e-03 -0.525661e-03 -0.525661e-03
 -0.522730e-03 -0.522730e-03 -0.522730e-03 -0.522730e-03
 -0.519833e-03 -0.519833e-03 -0.519833e-03 -0.519833e-03
 -0.516970e-03 -0.516970e-03 -0.516970e-03 -0.516970e-03
 -0.514139e-03 -0.514139e-03 -0.514139e-03 -0.514139e-03
 -0.511340e-03 -0.511340e-03 -0.511340e-03 -0.511340e-03
 -0.508573e-03 -0.508573e-03 -0.508573e-03 -0.508573e-03
 -0.505837e-03 -0.505837e-03 -0.505837e-03 -0.505837e-03
 -0.503131e-03 -0.503131e-03 -0.503131e-03 -0.503131e-03
 -0.500455e-03 -0.500455e-03 -0.500455e-03 -0.500455e-03
 -0.497809e-03 -0.497809e-03 -0.497809e-03 -0.497809e-03
 -0.495192e-03 -0.495192e-03 -0.495192e-03 -0.495192e-03
 -0.492603e-03 -0.492603e-03 -0.492603e-03 -0.492603e-03
 -0.490043e-03 -0.490043e-03 -0.490043e-03 -0.490043e-03
 -0.487509e-03 -0.487509e-03 -0.487509e-03 -0.487509e-03
 -0.485003e-03 -0.485003e-03 -0.485003e-03 -0.485003e-03
 -0.482522e-03 -0.482522e-03 -0.482522e-03 -0.482522e-03
 -0.480071e-03 -0.480071e-03 -0.480071e-03 -0.480071e-03
 -0.477644e-03 -0.477644e-03 -0.477644e-03 -0.477644e-03
 -0.475242e-03 -0.475242e-03 -0.475242e-03 -0.475242e-03
 -0.472865e-03 -0.472865e-03 -0.472865e-03 -0.472865e-03
 -0.470513e-03 -0.470513e-03 -0.470513e-03 -0.470513e-03
 -0.468185e-03 -0.468185e-03 -0.468185e-03 -0.468185e-03
 -0.465881e-03 -0.465881e-03 -0.465881e-03 -0.465881e-03
 -0.463601e-03 -0.463601e-03 -0.463601e-03 -0.463601e-03
 -0.461343e-03 -0.461343e-03 -0.461343e-03 -0.461343e-03
 -0.459108e-03 -0.459108e-03 -0.459108e-03 -0.459108e-03
 -0.456896e-03 -0.456896e-03 -0.456896e-03 -0.456896e-03
 -0.454706e-03 -0.454706e-03 -0.454706e-03 -0.454706e-03
 -0.452538e-03 -0.452538e-03 -0.452538e-03 -0.452538e-03
 -0.450391e-03 -0.450391e-03 -0.450391e-03 -0.450391e-03
 -0.448265e-03 -0.448265e-03 -0.448265e-03 -0.448265e-03
 -0.446160e-03 -0.446160e-03 -0.446160e-03 -0.446160e-03
 -0.444075e-03 -0.444075e-03 -0.444075e-03 -0.444075e-03
 -0.442010e-03 -0.442010e-03 -0.442010e-03 -0.442010e-03
 -0.108336e+01 -0.108336e+01 -0.108336e+01 -0.108336e+01
 -0.134074e+01 -0.134074e+01 -0.134074e+01 -0.134074e+01
 -0.108144e+01 -0.108144e+01 -0.108144e+01 -0.108144e+01
 -0.822400e+00 -0.822400e+00 -0.822400e+00 -0.822400e+00
 -0.589944e+00 -0.589944e+00 -0.589944e+00 -0.589944e+00
 -0.410035e+00 -0.410035e+00 -0.410035e+00 -0.410035e+00
 -0.299730e+00 -0.299730e+00 -0.299730e+00 -0.299730e+00
 -0.227678e+00 -0.227678e+00 -0.227678e+00 -0.227678e+00
 -0.178282e+00 -0.178282e+00 -0.178282e+00 -0.178282e+00
 -0.143099e+00 -0.143099e+00 -0.143099e+00 -0.143099e+00
 -0.117251e+00 -0.117251e+00 -0.117251e+00 -0.117251e+00
 -0.977647e-01 -0.977647e-01 -0.977647e-01 -0.977647e-01
 -0.827527e-01 -0.827527e-01 -0.827527e-01 -0.827527e-01
 -0.709699e-01 -0.709699e-01 -0.709699e-01 -0.709699e-01
 -0.615707e-01 -0.615707e-01 -0.615707e-01 -0.615707e-01
 -0.539657e-01 -0.539657e-01 -0.539657e-01 -0.539657e-01
 -0.477347e-01 -0.477347e-01 -0.477347e-01 -0.477347e-01
 -0.425716e-01 -0.425716e-01 -0.425716e-01 -0.425716e-01
 -0.382501e-01 -0.382501e-01 -0.382501e-01 -0.382501e-01
 -0.345998e-01 -0.345998e-01 -0.345998e-01 -0.345998e-01
 -0.314907e-01 -0.314907e-01 -0.314907e-01 -0.314907e-01
 -0.288223e-01 -0.288223e-01 -0.288223e-01 -0.288223e-01
 -0.265162e-01 -0.265162e-01 -0.265162e-01 -0.265162e-01
 -0.245103e-01 -0.245103e-01 -0.245103e-01 -0.245103e-01
 -0.227551e-01 -0.227551e-01 -0.227551e-01 -0.227551e-01
 -0.212108e-01 -0.212108e-01 -0.212108e-01 -0.212108e-01
 -0.198450e-01 -0.198450e-01 -0.198450e-01 -0.198450e-01
 -0.186313e-01 -0.186313e-01 -0.186313e-01 -0.186313e-01
 -0.175479e-01 -0.175479e-01 -0.175479e-01 -0.175479e-01
 -0.165768e-01 -0.165768e-01 -0.165768e-01 -0.165768e-01
 -0.157028e-01 -0.157028e-01 -0.157028e-01 -0.157028e-01
 -0.149132e-01 -0.149132e-01 -0.149132e-01 -0.149132e-01
 -0.141975e-01 -0.141975e-01 -0.141975e-01 -0.141975e-01
 -0.135466e-01 -0.135466e-01 -0.135466e-01 -0.135466e-01
 -0.129527e-01 -0.129527e-01 -0.129527e-01 -0.129527e-01
 -0.124092e-01 -0.124092e-01 -0.124092e-01 -0.124092e-01
 -0.119104e-01 -0.119104e-01 -0.119104e-01 -0.119104e-01
 -0.114514e-01 -0.114514e-01 -0.114514e-01 -0.114514e-01
 -0.110280e-01 -0.110280e-01 -0.110280e-01 -0.110280e-01
 -0.106365e-01 -0.106365e-01 -0.106365e-01 -0.106365e-01
 -0.102735e-01 -0.102735e-01 -0.102735e-01 -0.102735e-01
 -0.993636e-02 -0.993636e-02 -0.993636e-02 -0.993636e-02
 -0.962246e-02 -0.962246e-02 -0.962246e-02 -0.962246e-02
 -0.932964e-02 -0.932964e-02 -0.932964e-02 -0.932964e-02
 -0.905595e-02 -0.905595e-02 -0.905595e-02 -0.905595e-02
 -0.879966e-02 -0.879966e-02 -0.879966e-02 -0.879966e-02
 -0.855925e-02 -0.855925e-02 -0.855925e-02 -0.855925e-02
 -0.833334e-02 -0.833334e-02 -0.833334e-02 -0.833334e-02
 -0.812070e-02 -0.812070e-02 -0.812070e-02 -0.812070e-02
 -0.792025e-02 -0.792025e-02 -0.792025e-02 -0.792025e-02
 -0.773100e-02 -0.773100e-02 -0.773100e-02 -0.773100e-02
 -0.755206e-02 -0.755206e-02 -0.755206e-02 -0.755206e-02
 -0.738264e-02 -0.738264e-02 -0.738264e-02 -0.738264e-02
 -0.722200e-02 -0.722200e-02 -0.722200e-02 -0.722200e-02
 -0.706950e-02 -0.706950e-02 -0.706950e-02 -0.706950e-02
 -0.692455e-02 -0.692455e-02 -0.692455e-02 -0.692455e-02
 -0.678659e-02 -0.678659e-02 -0.678659e-02 -0.678659e-02
 -0.665516e-02 -0.665516e-02 -0.665516e-02 -0.665516e-02
 -0.652978e-02 -0.652978e-02 -0.652978e-02 -0.652978e-02
 -0.613312e-02 -0.613312e-02 -0.613312e-02 -0.613312e-02
 -0.557511e-02 -0.557511e-02 -0.557511e-02 -0.557511e-02
 -0.512996e-02 -0.512996e-02 -0.512996e-02 -0.512996e-02
 -0.476559e-02 -0.476559e-02 -0.476559e-02 -0.476559e-02
 -0.446090e-02 -0.446090e-02 -0.446090e-02 -0.446090e-02
 -0.420149e-02 -0.420149e-02 -0.420149e-02 -0.420149e-02
 -0.397725e-02 -0.397725e-02 -0.397725e-02 -0.397725e-02
 -0.378090e-02 -0.378090e-02 -0.378090e-02 -0.378090e-02
 -0.360704e-02 -0.360704e-02 -0.360704e-02 -0.360704e-02
 -0.345161e-02 -0.345161e-02 -0.345161e-02 -0.345161e-02
 -0.331151e-02 -0.331151e-02 -0.331151e-02 -0.331151e-02
 -0.318430e-02 -0.318430e-02 -0.318430e-02 -0.318430e-02
 -0.306806e-02 -0.306806e-02 -0.306806e-02 -0.306806e-02
 -0.296125e-02 -0.296125e-02 -0.296125e-02 -0.296125e-02
 -0.286263e-02 -0.286263e-02 -0.286263e-02 -0.286263e-02
 -0.277115e-02 -0.277115e-02 -0.277115e-02 -0.277115e-02
 -0.268597e-02 -0.268597e-02 -0.268597e-02 -0.268597e-02
 -0.260638e-02 -0.260638e-02 -0.260638e-02 -0.260638e-02
 -0.253178e-02 -0.253178e-02 -0.253178e-02 -0.253178e-02
 -0.246165e-02 -0.246165e-02 -0.246165e-02 -0.246165e-02
 -0.239555e-02 -0.239555e-02 -0.239555e-02 -0.239555e-02
 -0.233311e-02 -0.233311e-02 -0.233311e-02 -0.233311e-02
 -0.227400e-02 -0.227400e-02 -0.227400e-02 -0.227400e-02
 -0.221794e-02 -0.221794e-02 -0.221794e-02 -0.221794e-02
 -0.216466e-02 -0.216466e-02 -0.216466e-02 -0.216466e-02
 -0.211395e-02 -0.211395e-02 -0.211395e-02 -0.211395e-02
 -0.206562e-02 -0.206562e-02 -0.206562e-02 -0.206562e-02
 -0.201948e-02 -0.201948e-02 -0.201948e-02 -0.201948e-02
 -0.197538e-02 -0.197538e-02 -0.197538e-02 -0.197538e-02
 -0.193317e-02 -0.193317e-02 -0.193317e-02 -0.193317e-02
 -0.189274e-02 -0.189274e-02 -0.189274e-02 -0.189274e-02
 -0.185397e-02 -0.185397e-02 -0.185397e-02 -0.185397e-02
 -0.181674e-02 -0.181674e-02 -0.181674e-02 -0.181674e-02
 -0.178098e-02 -0.178098e-02 -0.178098e-02 -0.178098e-02
 -0.174658e-02 -0.174658e-02 -0.174658e-02 -0.174658e-02
 -0.171347e-02 -0.171347e-02 -0.171347e-02 -0.171347e-02
 -0.168158e-02 -0.168158e-02 -0.168158e-02 -0.168158e-02
 -0.165085e-02 -0.165085e-02 -0.165085e-02 -0.165085e-02
 -0.162120e-02 -0.162120e-02 -0.162120e-02 -0.162120e-02
 -0.159258e-02 -0.159258e-02 -0.159258e-02 -0.159258e-02
 -0.156494e-02 -0.156494e-02 -0.156494e-02 -0.156494e-02
 -0.153822e-02 -0.153822e-02 -0.153822e-02 -0.153822e-02
 -0.151239e-02 -0.151239e-02 -0.151239e-02 -0.151239e-02
 -0.148740e-02 -0.148740e-02 -0.148740e-02 -0.148740e-02
 -0.146321e-02 -0.146321e-02 -0.146321e-02 -0.146321e-02
 -0.143979e-02 -0.143979e-02 -0.143979e-02 -0.143979e-02
 -0.141709e-02 -0.141709e-02 -0.141709e-02 -0.141709e-02
 -0.139508e-02 -0.139508e-02 -0.139508e-02 -0.139508e-02
 -0.137374e-02 -0.137374e-02 -0.137374e-02 -0.137374e-02
 -0.135303e-02 -0.135303e-02 -0.135303e-02 -0.135303e-02
 -0.133293e-02 -0.133293e-02 -0.133293e-02 -0.133293e-02
 -0.131341e-02 -0.131341e-02 -0.131341e-02 -0.131341e-02
 -0.129445e-02 -0.129445e-02 -0.129445e-02 -0.129445e-02
 -0.127603e-02 -0.127603e-02 -0.127603e-02 -0.127603e-02
 -0.125812e-02 -0.125812e-02 -0.125812e-02 -0.125812e-02
 -0.124070e-02 -0.124070e-02 -0.124070e-02 -0.124070e-02
 -0.122375e-02 -0.122375e-02 -0.122375e-02 -0.122375e-02
 -0.120726e-02 -0.120726e-02 -0.120726e-02 -0.120726e-02
 -0.119120e-02 -0.119120e-02 -0.119120e-02 -0.119120e-02
 -0.117557e-02 -0.117557e-02 -0.117557e-02 -0.117557e-02
 -0.116034e-02 -0.116034e-02 -0.116034e-02 -0.116034e-02
 -0.114550e-02 -0.114550e-02 -0.114550e-02 -0.114550e-02
 -0.113103e-02 -0.113103e-02 -0.113103e-02 -0.113103e-02
 -0.111693e-02 -0.111693e-02 -0.111693e-02 -0.111693e-02
 -0.110317e-02 -0.110317e-02 -0.110317e-02 -0.110317e-02
 -0.108975e-02 -0.108975e-02 -0.108975e-02 -0.108975e-02
 -0.107666e-02 -0.107666e-02 -0.107666e-02 -0.107666e-02
 -0.106388e-02 -0.106388e-02 -0.106388e-02 -0.106388e-02
 -0.105140e-02 -0.105140e-02 -0.105140e-02 -0.105140e-02
 -0.103921e-02 -0.103921e-02 -0.103921e-02 -0.103921e-02
 -0.102731e-02 -0.102731e-02 -0.102731e-02 -0.102731e-02
 -0.101568e-02 -0.101568e-02 -0.101568e-02 -0.101568e-02
 -0.100431e-02 -0.100431e-02 -0.100431e-02 -0.100431e-02
 -0.993197e-03 -0.993197e-03 -0.993197e-03 -0.993197e-03
 -0.982332e-03 -0.982332e-03 -0.982332e-03 -0.982332e-03
 -0.971706e-03 -0.971706e-03 -0.971706e-03 -0.971706e-03
 -0.961310e-03 -0.961310e-03 -0.961310e-03 -0.961310e-03
 -0.951139e-03 -0.951139e-03 -0.951139e-03 -0.951139e-03
 -0.941185e-03 -0.941185e-03 -0.941185e-03 -0.941185e-03
 -0.931442e-03 -0.931442e-03 -0.931442e-03 -0.931442e-03
 -0.921902e-03 -0.921902e-03 -0.921902e-03 -0.921902e-03
 -0.912560e-03 -0.912560e-03 -0.912560e-03 -0.912560e-03
 -0.903410e-03 -0.903410e-03 -0.903410e-03 -0.903410e-03
 -0.894445e-03 -0.894445e-03 -0.894445e-03 -0.894445e-03
 -0.885662e-03 -0.885662e-03 -0.885662e-03 -0.885662e-03
 -0.877053e-03 -0.877053e-03 -0.877053e-03 -0.877053e-03
 -0.868614e-03 -0.868614e-03 -0.868614e-03 -0.868614e-03
 -0.860341e-03 -0.860341e-03 -0.860341e-03 -0.860341e-03
