 R11 R12 R21 R22
 -0.661788e-03 -0.661788e-03 -0.661788e-03 -0.661788e-03
 -0.610026e-03 -0.610026e-03 -0.610026e-03 -0.610026e-03
 -0.563685e-03 -0.563685e-03 -0.563685e-03 -0.563685e-03
 -0.522063e-03 -0.522063e-03 -0.522063e-03 -0.522063e-03
 -0.484567e-03 -0.484567e-03 -0.484567e-03 -0.484567e-03
 -0.450691e-03 -0.450691e-03 -0.450691e-03 -0.450691e-03
 -0.420001e-03 -0.420001e-03 -0.420001e-03 -0.420001e-03
 -0.392125e-03 -0.392125e-03 -0.392125e-03 -0.392125e-03
 -0.366743e-03 -0.366743e-03 -0.366743e-03 -0.366743e-03
 -0.343575e-03 -0.343575e-03 -0.343575e-03 -0.343575e-03
 -0.322382e-03 -0.322382e-03 -0.322382e-03 -0.322382e-03
 -0.302953e-03 -0.302953e-03 -0.302953e-03 -0.302953e-03
 -0.285105e-03 -0.285105e-03 -0.285105e-03 -0.285105e-03
 -0.268675e-03 -0.268675e-03 -0.268675e-03 -0.268675e-03
 -0.253524e-03 -0.253524e-03 -0.253524e-03 -0.253524e-03
 -0.239527e-03 -0.239527e-03 -0.239527e-03 -0.239527e-03
 -0.226572e-03 -0.226572e-03 -0.226572e-03 -0.226572e-03
 -0.214563e-03 -0.214563e-03 -0.214563e-03 -0.214563e-03
 -0.203412e-03 -0.203412e-03 -0.203412e-03 -0.203412e-03
 -0.193043e-03 -0.193043e-03 -0.193043e-03 -0.193043e-03
 -0.183386e-03 -0.183386e-03 -0.183386e-03 -0.183386e-03
 -0.174380e-03 -0.174380e-03 -0.174380e-03 -0.174380e-03
 -0.165970e-03 -0.165970e-03 -0.165970e-03 -0.165970e-03
 -0.158106e-03 -0.158106e-03 -0.158106e-03 -0.158106e-03
 -0.150743e-03 -0.150743e-03 -0.150743e-03 -0.150743e-03
 -0.143841e-03 -0.143841e-03 -0.143841e-03 -0.143841e-03
 -0.137363e-03 -0.137363e-03 -0.137363e-03 -0.137363e-03
 -0.131278e-03 -0.131278e-03 -0.131278e-03 -0.131278e-03
 -0.125554e-03 -0.125554e-03 -0.125554e-03 -0.125554e-03
 -0.120164e-03 -0.120164e-03 -0.120164e-03 -0.120164e-03
 -0.115085e-03 -0.115085e-03 -0.115085e-03 -0.115085e-03
