 Q11 Q12 Q21 Q22
 0.480505e-02 0.480505e-02 0.480505e-02 0.480505e-02
 0.469975e-02 0.469975e-02 0.469975e-02 0.469975e-02
 0.459991e-02 0.459991e-02 0.459991e-02 0.459991e-02
 0.450515e-02 0.450515e-02 0.450515e-02 0.450515e-02
 0.441508e-02 0.441508e-02 0.441508e-02 0.441508e-02
 0.432939e-02 0.432939e-02 0.432939e-02 0.432939e-02
 0.424776e-02 0.424776e-02 0.424776e-02 0.424776e-02
 0.416992e-02 0.416992e-02 0.416992e-02 0.416992e-02
 0.409562e-02 0.409562e-02 0.409562e-02 0.409562e-02
 0.402463e-02 0.402463e-02 0.402463e-02 0.402463e-02
 0.395672e-02 0.395672e-02 0.395672e-02 0.395672e-02
 0.389171e-02 0.389171e-02 0.389171e-02 0.389171e-02
 0.382941e-02 0.382941e-02 0.382941e-02 0.382941e-02
 0.376966e-02 0.376966e-02 0.376966e-02 0.376966e-02
 0.371231e-02 0.371231e-02 0.371231e-02 0.371231e-02
 0.365720e-02 0.365720e-02 0.365720e-02 0.365720e-02
 0.360422e-02 0.360422e-02 0.360422e-02 0.360422e-02
 0.355324e-02 0.355324e-02 0.355324e-02 0.355324e-02
 0.350414e-02 0.350414e-02 0.350414e-02 0.350414e-02
 0.345682e-02 0.345682e-02 0.345682e-02 0.345682e-02
 0.341119e-02 0.341119e-02 0.341119e-02 0.341119e-02
 0.336715e-02 0.336715e-02 0.336715e-02 0.336715e-02
 0.332462e-02 0.332462e-02 0.332462e-02 0.332462e-02
 0.328352e-02 0.328352e-02 0.328352e-02 0.328352e-02
 0.324378e-02 0.324378e-02 0.324378e-02 0.324378e-02
 0.320532e-02 0.320532e-02 0.320532e-02 0.320532e-02
 0.316809e-02 0.316809e-02 0.316809e-02 0.316809e-02
 0.313203e-02 0.313203e-02 0.313203e-02 0.313203e-02
 0.309707e-02 0.309707e-02 0.309707e-02 0.309707e-02
 0.306317e-02 0.306317e-02 0.306317e-02 0.306317e-02
 0.303027e-02 0.303027e-02 0.303027e-02 0.303027e-02
 0.299833e-02 0.299833e-02 0.299833e-02 0.299833e-02
 0.296731e-02 0.296731e-02 0.296731e-02 0.296731e-02
 0.293717e-02 0.293717e-02 0.293717e-02 0.293717e-02
 0.290786e-02 0.290786e-02 0.290786e-02 0.290786e-02
 0.287935e-02 0.287935e-02 0.287935e-02 0.287935e-02
 0.285160e-02 0.285160e-02 0.285160e-02 0.285160e-02
 0.282459e-02 0.282459e-02 0.282459e-02 0.282459e-02
 0.279828e-02 0.279828e-02 0.279828e-02 0.279828e-02
 0.277265e-02 0.277265e-02 0.277265e-02 0.277265e-02
 0.274766e-02 0.274766e-02 0.274766e-02 0.274766e-02
 0.272329e-02 0.272329e-02 0.272329e-02 0.272329e-02
 0.269952e-02 0.269952e-02 0.269952e-02 0.269952e-02
 0.267632e-02 0.267632e-02 0.267632e-02 0.267632e-02
 0.265367e-02 0.265367e-02 0.265367e-02 0.265367e-02
 0.263155e-02 0.263155e-02 0.263155e-02 0.263155e-02
 0.260994e-02 0.260994e-02 0.260994e-02 0.260994e-02
 0.258883e-02 0.258883e-02 0.258883e-02 0.258883e-02
 0.256818e-02 0.256818e-02 0.256818e-02 0.256818e-02
 0.254799e-02 0.254799e-02 0.254799e-02 0.254799e-02
 0.252825e-02 0.252825e-02 0.252825e-02 0.252825e-02
 0.250892e-02 0.250892e-02 0.250892e-02 0.250892e-02
 0.249001e-02 0.249001e-02 0.249001e-02 0.249001e-02
 0.247149e-02 0.247149e-02 0.247149e-02 0.247149e-02
 0.245336e-02 0.245336e-02 0.245336e-02 0.245336e-02
 0.243560e-02 0.243560e-02 0.243560e-02 0.243560e-02
 0.241819e-02 0.241819e-02 0.241819e-02 0.241819e-02
 0.240113e-02 0.240113e-02 0.240113e-02 0.240113e-02
 0.238440e-02 0.238440e-02 0.238440e-02 0.238440e-02
 0.236800e-02 0.236800e-02 0.236800e-02 0.236800e-02
 0.235192e-02 0.235192e-02 0.235192e-02 0.235192e-02
 0.233614e-02 0.233614e-02 0.233614e-02 0.233614e-02
 0.232065e-02 0.232065e-02 0.232065e-02 0.232065e-02
 0.230545e-02 0.230545e-02 0.230545e-02 0.230545e-02
 0.229053e-02 0.229053e-02 0.229053e-02 0.229053e-02
 0.227588e-02 0.227588e-02 0.227588e-02 0.227588e-02
 0.226149e-02 0.226149e-02 0.226149e-02 0.226149e-02
 0.224735e-02 0.224735e-02 0.224735e-02 0.224735e-02
 0.223346e-02 0.223346e-02 0.223346e-02 0.223346e-02
 0.221981e-02 0.221981e-02 0.221981e-02 0.221981e-02
 0.220640e-02 0.220640e-02 0.220640e-02 0.220640e-02
 0.219321e-02 0.219321e-02 0.219321e-02 0.219321e-02
 0.218024e-02 0.218024e-02 0.218024e-02 0.218024e-02
 0.216748e-02 0.216748e-02 0.216748e-02 0.216748e-02
 0.215494e-02 0.215494e-02 0.215494e-02 0.215494e-02
 0.214260e-02 0.214260e-02 0.214260e-02 0.214260e-02
 0.213045e-02 0.213045e-02 0.213045e-02 0.213045e-02
 0.211850e-02 0.211850e-02 0.211850e-02 0.211850e-02
 0.210674e-02 0.210674e-02 0.210674e-02 0.210674e-02
 0.209516e-02 0.209516e-02 0.209516e-02 0.209516e-02
 0.208376e-02 0.208376e-02 0.208376e-02 0.208376e-02
 0.207253e-02 0.207253e-02 0.207253e-02 0.207253e-02
 0.206147e-02 0.206147e-02 0.206147e-02 0.206147e-02
 0.205058e-02 0.205058e-02 0.205058e-02 0.205058e-02
 0.203985e-02 0.203985e-02 0.203985e-02 0.203985e-02
 0.202928e-02 0.202928e-02 0.202928e-02 0.202928e-02
 0.201886e-02 0.201886e-02 0.201886e-02 0.201886e-02
 0.200859e-02 0.200859e-02 0.200859e-02 0.200859e-02
 0.199847e-02 0.199847e-02 0.199847e-02 0.199847e-02
 0.198849e-02 0.198849e-02 0.198849e-02 0.198849e-02
 0.197865e-02 0.197865e-02 0.197865e-02 0.197865e-02
 0.196895e-02 0.196895e-02 0.196895e-02 0.196895e-02
 0.195939e-02 0.195939e-02 0.195939e-02 0.195939e-02
 0.194995e-02 0.194995e-02 0.194995e-02 0.194995e-02
 0.194064e-02 0.194064e-02 0.194064e-02 0.194064e-02
 0.193146e-02 0.193146e-02 0.193146e-02 0.193146e-02
 0.192240e-02 0.192240e-02 0.192240e-02 0.192240e-02
 0.191346e-02 0.191346e-02 0.191346e-02 0.191346e-02
 0.190464e-02 0.190464e-02 0.190464e-02 0.190464e-02
 0.189593e-02 0.189593e-02 0.189593e-02 0.189593e-02
 0.188734e-02 0.188734e-02 0.188734e-02 0.188734e-02
 0.187885e-02 0.187885e-02 0.187885e-02 0.187885e-02
 0.187047e-02 0.187047e-02 0.187047e-02 0.187047e-02
 0.186220e-02 0.186220e-02 0.186220e-02 0.186220e-02
 0.185403e-02 0.185403e-02 0.185403e-02 0.185403e-02
 0.184597e-02 0.184597e-02 0.184597e-02 0.184597e-02
 0.183800e-02 0.183800e-02 0.183800e-02 0.183800e-02
 0.183013e-02 0.183013e-02 0.183013e-02 0.183013e-02
 0.182236e-02 0.182236e-02 0.182236e-02 0.182236e-02
 0.181468e-02 0.181468e-02 0.181468e-02 0.181468e-02
 0.180709e-02 0.180709e-02 0.180709e-02 0.180709e-02
 0.179959e-02 0.179959e-02 0.179959e-02 0.179959e-02
 0.179218e-02 0.179218e-02 0.179218e-02 0.179218e-02
 0.178485e-02 0.178485e-02 0.178485e-02 0.178485e-02
 0.177761e-02 0.177761e-02 0.177761e-02 0.177761e-02
 0.177046e-02 0.177046e-02 0.177046e-02 0.177046e-02
 0.176338e-02 0.176338e-02 0.176338e-02 0.176338e-02
 0.175639e-02 0.175639e-02 0.175639e-02 0.175639e-02
 0.174948e-02 0.174948e-02 0.174948e-02 0.174948e-02
 0.174264e-02 0.174264e-02 0.174264e-02 0.174264e-02
 0.173588e-02 0.173588e-02 0.173588e-02 0.173588e-02
 0.172919e-02 0.172919e-02 0.172919e-02 0.172919e-02
 0.172258e-02 0.172258e-02 0.172258e-02 0.172258e-02
 0.171604e-02 0.171604e-02 0.171604e-02 0.171604e-02
 0.170957e-02 0.170957e-02 0.170957e-02 0.170957e-02
 0.170317e-02 0.170317e-02 0.170317e-02 0.170317e-02
 0.169683e-02 0.169683e-02 0.169683e-02 0.169683e-02
 0.169057e-02 0.169057e-02 0.169057e-02 0.169057e-02
 0.168437e-02 0.168437e-02 0.168437e-02 0.168437e-02
 0.167824e-02 0.167824e-02 0.167824e-02 0.167824e-02
 0.167217e-02 0.167217e-02 0.167217e-02 0.167217e-02
 0.166616e-02 0.166616e-02 0.166616e-02 0.166616e-02
 0.166021e-02 0.166021e-02 0.166021e-02 0.166021e-02
 0.165433e-02 0.165433e-02 0.165433e-02 0.165433e-02
 0.164850e-02 0.164850e-02 0.164850e-02 0.164850e-02
 0.164273e-02 0.164273e-02 0.164273e-02 0.164273e-02
 0.163703e-02 0.163703e-02 0.163703e-02 0.163703e-02
 0.163137e-02 0.163137e-02 0.163137e-02 0.163137e-02
 0.162578e-02 0.162578e-02 0.162578e-02 0.162578e-02
 0.162024e-02 0.162024e-02 0.162024e-02 0.162024e-02
 0.161475e-02 0.161475e-02 0.161475e-02 0.161475e-02
 0.160932e-02 0.160932e-02 0.160932e-02 0.160932e-02
 0.160393e-02 0.160393e-02 0.160393e-02 0.160393e-02
 0.159860e-02 0.159860e-02 0.159860e-02 0.159860e-02
 0.159333e-02 0.159333e-02 0.159333e-02 0.159333e-02
 0.158810e-02 0.158810e-02 0.158810e-02 0.158810e-02
 0.158292e-02 0.158292e-02 0.158292e-02 0.158292e-02
 0.157779e-02 0.157779e-02 0.157779e-02 0.157779e-02
 0.157270e-02 0.157270e-02 0.157270e-02 0.157270e-02
 0.156767e-02 0.156767e-02 0.156767e-02 0.156767e-02
 0.156268e-02 0.156268e-02 0.156268e-02 0.156268e-02
 0.155773e-02 0.155773e-02 0.155773e-02 0.155773e-02
 0.155283e-02 0.155283e-02 0.155283e-02 0.155283e-02
 0.383647e+01 0.383647e+01 0.383647e+01 0.383647e+01
 0.412252e+01 0.412252e+01 0.412252e+01 0.412252e+01
 0.344778e+01 0.344778e+01 0.344778e+01 0.344778e+01
 0.279196e+01 0.279196e+01 0.279196e+01 0.279196e+01
 0.227808e+01 0.227808e+01 0.227808e+01 0.227808e+01
 0.188753e+01 0.188753e+01 0.188753e+01 0.188753e+01
 0.158853e+01 0.158853e+01 0.158853e+01 0.158853e+01
 0.125275e+01 0.125275e+01 0.125275e+01 0.125275e+01
 0.994131e+00 0.994131e+00 0.994131e+00 0.994131e+00
 0.811219e+00 0.811219e+00 0.811219e+00 0.811219e+00
 0.677137e+00 0.677137e+00 0.677137e+00 0.677137e+00
 0.575867e+00 0.575867e+00 0.575867e+00 0.575867e+00
 0.497418e+00 0.497418e+00 0.497418e+00 0.497418e+00
 0.435313e+00 0.435313e+00 0.435313e+00 0.435313e+00
 0.385215e+00 0.385215e+00 0.385215e+00 0.385215e+00
 0.344138e+00 0.344138e+00 0.344138e+00 0.344138e+00
 0.309973e+00 0.309973e+00 0.309973e+00 0.309973e+00
 0.281195e+00 0.281195e+00 0.281195e+00 0.281195e+00
 0.256684e+00 0.256684e+00 0.256684e+00 0.256684e+00
 0.235600e+00 0.235600e+00 0.235600e+00 0.235600e+00
 0.217302e+00 0.217302e+00 0.217302e+00 0.217302e+00
 0.201296e+00 0.201296e+00 0.201296e+00 0.201296e+00
 0.187195e+00 0.187195e+00 0.187195e+00 0.187195e+00
 0.174692e+00 0.174692e+00 0.174692e+00 0.174692e+00
 0.163542e+00 0.163542e+00 0.163542e+00 0.163542e+00
 0.153544e+00 0.153544e+00 0.153544e+00 0.153544e+00
 0.144538e+00 0.144538e+00 0.144538e+00 0.144538e+00
 0.136387e+00 0.136387e+00 0.136387e+00 0.136387e+00
 0.128982e+00 0.128982e+00 0.128982e+00 0.128982e+00
 0.122229e+00 0.122229e+00 0.122229e+00 0.122229e+00
 0.116050e+00 0.116050e+00 0.116050e+00 0.116050e+00
 0.110377e+00 0.110377e+00 0.110377e+00 0.110377e+00
 0.105153e+00 0.105153e+00 0.105153e+00 0.105153e+00
 0.100330e+00 0.100330e+00 0.100330e+00 0.100330e+00
 0.958658e-01 0.958658e-01 0.958658e-01 0.958658e-01
 0.917236e-01 0.917236e-01 0.917236e-01 0.917236e-01
 0.878714e-01 0.878714e-01 0.878714e-01 0.878714e-01
 0.842815e-01 0.842815e-01 0.842815e-01 0.842815e-01
 0.809294e-01 0.809294e-01 0.809294e-01 0.809294e-01
 0.777934e-01 0.777934e-01 0.777934e-01 0.777934e-01
 0.748544e-01 0.748544e-01 0.748544e-01 0.748544e-01
 0.720956e-01 0.720956e-01 0.720956e-01 0.720956e-01
 0.695017e-01 0.695017e-01 0.695017e-01 0.695017e-01
 0.670592e-01 0.670592e-01 0.670592e-01 0.670592e-01
 0.647561e-01 0.647561e-01 0.647561e-01 0.647561e-01
 0.625815e-01 0.625815e-01 0.625815e-01 0.625815e-01
 0.605255e-01 0.605255e-01 0.605255e-01 0.605255e-01
 0.585792e-01 0.585792e-01 0.585792e-01 0.585792e-01
 0.567348e-01 0.567348e-01 0.567348e-01 0.567348e-01
 0.549848e-01 0.549848e-01 0.549848e-01 0.549848e-01
 0.533228e-01 0.533228e-01 0.533228e-01 0.533228e-01
 0.517425e-01 0.517425e-01 0.517425e-01 0.517425e-01
 0.502387e-01 0.502387e-01 0.502387e-01 0.502387e-01
 0.488061e-01 0.488061e-01 0.488061e-01 0.488061e-01
 0.474402e-01 0.474402e-01 0.474402e-01 0.474402e-01
 0.461367e-01 0.461367e-01 0.461367e-01 0.461367e-01
 0.448918e-01 0.448918e-01 0.448918e-01 0.448918e-01
 0.437019e-01 0.437019e-01 0.437019e-01 0.437019e-01
 0.425636e-01 0.425636e-01 0.425636e-01 0.425636e-01
 0.389443e-01 0.389443e-01 0.389443e-01 0.389443e-01
 0.338235e-01 0.338235e-01 0.338235e-01 0.338235e-01
 0.297409e-01 0.297409e-01 0.297409e-01 0.297409e-01
 0.264270e-01 0.264270e-01 0.264270e-01 0.264270e-01
 0.236960e-01 0.236960e-01 0.236960e-01 0.236960e-01
 0.214158e-01 0.214158e-01 0.214158e-01 0.214158e-01
 0.194902e-01 0.194902e-01 0.194902e-01 0.194902e-01
 0.178478e-01 0.178478e-01 0.178478e-01 0.178478e-01
 0.164346e-01 0.164346e-01 0.164346e-01 0.164346e-01
 0.152089e-01 0.152089e-01 0.152089e-01 0.152089e-01
 0.141383e-01 0.141383e-01 0.141383e-01 0.141383e-01
 0.131972e-01 0.131972e-01 0.131972e-01 0.131972e-01
 0.123651e-01 0.123651e-01 0.123651e-01 0.123651e-01
 0.116255e-01 0.116255e-01 0.116255e-01 0.116255e-01
 0.109648e-01 0.109648e-01 0.109648e-01 0.109648e-01
 0.103720e-01 0.103720e-01 0.103720e-01 0.103720e-01
 0.983791e-02 0.983791e-02 0.983791e-02 0.983791e-02
 0.935484e-02 0.935484e-02 0.935484e-02 0.935484e-02
 0.891634e-02 0.891634e-02 0.891634e-02 0.891634e-02
 0.851696e-02 0.851696e-02 0.851696e-02 0.851696e-02
 0.815206e-02 0.815206e-02 0.815206e-02 0.815206e-02
 0.781768e-02 0.781768e-02 0.781768e-02 0.781768e-02
 0.751042e-02 0.751042e-02 0.751042e-02 0.751042e-02
 0.722733e-02 0.722733e-02 0.722733e-02 0.722733e-02
 0.696586e-02 0.696586e-02 0.696586e-02 0.696586e-02
 0.672379e-02 0.672379e-02 0.672379e-02 0.672379e-02
 0.649918e-02 0.649918e-02 0.649918e-02 0.649918e-02
 0.629033e-02 0.629033e-02 0.629033e-02 0.629033e-02
 0.609573e-02 0.609573e-02 0.609573e-02 0.609573e-02
 0.591407e-02 0.591407e-02 0.591407e-02 0.591407e-02
 0.574416e-02 0.574416e-02 0.574416e-02 0.574416e-02
 0.558498e-02 0.558498e-02 0.558498e-02 0.558498e-02
 0.543558e-02 0.543558e-02 0.543558e-02 0.543558e-02
 0.529515e-02 0.529515e-02 0.529515e-02 0.529515e-02
 0.516293e-02 0.516293e-02 0.516293e-02 0.516293e-02
 0.503826e-02 0.503826e-02 0.503826e-02 0.503826e-02
 0.492053e-02 0.492053e-02 0.492053e-02 0.492053e-02
 0.480922e-02 0.480922e-02 0.480922e-02 0.480922e-02
 0.470382e-02 0.470382e-02 0.470382e-02 0.470382e-02
 0.460390e-02 0.460390e-02 0.460390e-02 0.460390e-02
 0.450905e-02 0.450905e-02 0.450905e-02 0.450905e-02
 0.441890e-02 0.441890e-02 0.441890e-02 0.441890e-02
 0.433313e-02 0.433313e-02 0.433313e-02 0.433313e-02
 0.425144e-02 0.425144e-02 0.425144e-02 0.425144e-02
 0.417353e-02 0.417353e-02 0.417353e-02 0.417353e-02
 0.409917e-02 0.409917e-02 0.409917e-02 0.409917e-02
 0.402811e-02 0.402811e-02 0.402811e-02 0.402811e-02
 0.396014e-02 0.396014e-02 0.396014e-02 0.396014e-02
 0.389507e-02 0.389507e-02 0.389507e-02 0.389507e-02
 0.383272e-02 0.383272e-02 0.383272e-02 0.383272e-02
 0.377292e-02 0.377292e-02 0.377292e-02 0.377292e-02
 0.371551e-02 0.371551e-02 0.371551e-02 0.371551e-02
 0.366036e-02 0.366036e-02 0.366036e-02 0.366036e-02
 0.360733e-02 0.360733e-02 0.360733e-02 0.360733e-02
 0.355630e-02 0.355630e-02 0.355630e-02 0.355630e-02
 0.350716e-02 0.350716e-02 0.350716e-02 0.350716e-02
 0.345980e-02 0.345980e-02 0.345980e-02 0.345980e-02
 0.341413e-02 0.341413e-02 0.341413e-02 0.341413e-02
 0.337005e-02 0.337005e-02 0.337005e-02 0.337005e-02
 0.332748e-02 0.332748e-02 0.332748e-02 0.332748e-02
 0.328634e-02 0.328634e-02 0.328634e-02 0.328634e-02
 0.324656e-02 0.324656e-02 0.324656e-02 0.324656e-02
 0.320807e-02 0.320807e-02 0.320807e-02 0.320807e-02
 0.317081e-02 0.317081e-02 0.317081e-02 0.317081e-02
 0.313471e-02 0.313471e-02 0.313471e-02 0.313471e-02
 0.309972e-02 0.309972e-02 0.309972e-02 0.309972e-02
 0.306579e-02 0.306579e-02 0.306579e-02 0.306579e-02
 0.303287e-02 0.303287e-02 0.303287e-02 0.303287e-02
 0.300090e-02 0.300090e-02 0.300090e-02 0.300090e-02
 0.296985e-02 0.296985e-02 0.296985e-02 0.296985e-02
 0.293968e-02 0.293968e-02 0.293968e-02 0.293968e-02
 0.291034e-02 0.291034e-02 0.291034e-02 0.291034e-02
 0.288181e-02 0.288181e-02 0.288181e-02 0.288181e-02
 0.285404e-02 0.285404e-02 0.285404e-02 0.285404e-02
 0.282700e-02 0.282700e-02 0.282700e-02 0.282700e-02
 0.280067e-02 0.280067e-02 0.280067e-02 0.280067e-02
 0.277501e-02 0.277501e-02 0.277501e-02 0.277501e-02
 0.275000e-02 0.275000e-02 0.275000e-02 0.275000e-02
 0.272561e-02 0.272561e-02 0.272561e-02 0.272561e-02
 0.270182e-02 0.270182e-02 0.270182e-02 0.270182e-02
 0.267860e-02 0.267860e-02 0.267860e-02 0.267860e-02
 0.265593e-02 0.265593e-02 0.265593e-02 0.265593e-02
 0.263379e-02 0.263379e-02 0.263379e-02 0.263379e-02
 0.261216e-02 0.261216e-02 0.261216e-02 0.261216e-02
 0.259102e-02 0.259102e-02 0.259102e-02 0.259102e-02
 0.257036e-02 0.257036e-02 0.257036e-02 0.257036e-02
 0.255015e-02 0.255015e-02 0.255015e-02 0.255015e-02
 0.253039e-02 0.253039e-02 0.253039e-02 0.253039e-02
 0.251105e-02 0.251105e-02 0.251105e-02 0.251105e-02
 0.249212e-02 0.249212e-02 0.249212e-02 0.249212e-02
 0.247358e-02 0.247358e-02 0.247358e-02 0.247358e-02
 0.245543e-02 0.245543e-02 0.245543e-02 0.245543e-02
 0.243765e-02 0.243765e-02 0.243765e-02 0.243765e-02
 0.242023e-02 0.242023e-02 0.242023e-02 0.242023e-02
 0.240315e-02 0.240315e-02 0.240315e-02 0.240315e-02
 0.238641e-02 0.238641e-02 0.238641e-02 0.238641e-02
 0.237000e-02 0.237000e-02 0.237000e-02 0.237000e-02
 0.235390e-02 0.235390e-02 0.235390e-02 0.235390e-02
 0.233810e-02 0.233810e-02 0.233810e-02 0.233810e-02
 0.232260e-02 0.232260e-02 0.232260e-02 0.232260e-02
