 log(Tmax/T) T/MeV k/T
 0.000000e+00 0.100000e+11 0.495242e+01
 0.000000e+00 0.100000e+11 0.501551e+01
 0.000000e+00 0.100000e+11 0.507860e+01
 0.000000e+00 0.100000e+11 0.514168e+01
 0.000000e+00 0.100000e+11 0.520477e+01
 0.000000e+00 0.100000e+11 0.526786e+01
 0.000000e+00 0.100000e+11 0.533095e+01
 0.000000e+00 0.100000e+11 0.539404e+01
 0.000000e+00 0.100000e+11 0.545712e+01
 0.000000e+00 0.100000e+11 0.552021e+01
 0.000000e+00 0.100000e+11 0.558330e+01
 0.000000e+00 0.100000e+11 0.564639e+01
 0.000000e+00 0.100000e+11 0.570948e+01
 0.000000e+00 0.100000e+11 0.577257e+01
 0.000000e+00 0.100000e+11 0.583565e+01
 0.000000e+00 0.100000e+11 0.589874e+01
 0.000000e+00 0.100000e+11 0.596183e+01
 0.000000e+00 0.100000e+11 0.602492e+01
 0.000000e+00 0.100000e+11 0.608801e+01
 0.000000e+00 0.100000e+11 0.615109e+01
 0.000000e+00 0.100000e+11 0.621418e+01
 0.000000e+00 0.100000e+11 0.627727e+01
 0.000000e+00 0.100000e+11 0.634036e+01
 0.000000e+00 0.100000e+11 0.640345e+01
 0.000000e+00 0.100000e+11 0.646654e+01
 0.000000e+00 0.100000e+11 0.652962e+01
 0.000000e+00 0.100000e+11 0.659271e+01
 0.000000e+00 0.100000e+11 0.665580e+01
 0.000000e+00 0.100000e+11 0.671889e+01
 0.000000e+00 0.100000e+11 0.678198e+01
 0.000000e+00 0.100000e+11 0.684506e+01
 0.000000e+00 0.100000e+11 0.690815e+01
 0.000000e+00 0.100000e+11 0.697124e+01
 0.000000e+00 0.100000e+11 0.703433e+01
 0.000000e+00 0.100000e+11 0.709742e+01
 0.000000e+00 0.100000e+11 0.716050e+01
 0.000000e+00 0.100000e+11 0.722359e+01
 0.000000e+00 0.100000e+11 0.728668e+01
 0.000000e+00 0.100000e+11 0.734977e+01
 0.000000e+00 0.100000e+11 0.741286e+01
 0.000000e+00 0.100000e+11 0.747595e+01
 0.000000e+00 0.100000e+11 0.753903e+01
 0.000000e+00 0.100000e+11 0.760212e+01
 0.000000e+00 0.100000e+11 0.766521e+01
 0.000000e+00 0.100000e+11 0.772830e+01
 0.000000e+00 0.100000e+11 0.779139e+01
 0.000000e+00 0.100000e+11 0.785447e+01
 0.000000e+00 0.100000e+11 0.791756e+01
 0.000000e+00 0.100000e+11 0.798065e+01
 0.000000e+00 0.100000e+11 0.804374e+01
 0.000000e+00 0.100000e+11 0.810683e+01
 0.000000e+00 0.100000e+11 0.816992e+01
 0.000000e+00 0.100000e+11 0.823300e+01
 0.000000e+00 0.100000e+11 0.829609e+01
 0.000000e+00 0.100000e+11 0.835918e+01
 0.000000e+00 0.100000e+11 0.842227e+01
 0.000000e+00 0.100000e+11 0.848536e+01
 0.000000e+00 0.100000e+11 0.854844e+01
 0.000000e+00 0.100000e+11 0.861153e+01
 0.000000e+00 0.100000e+11 0.867462e+01
 0.000000e+00 0.100000e+11 0.873771e+01
 0.000000e+00 0.100000e+11 0.880080e+01
 0.000000e+00 0.100000e+11 0.886388e+01
 0.000000e+00 0.100000e+11 0.892697e+01
 0.000000e+00 0.100000e+11 0.899006e+01
 0.000000e+00 0.100000e+11 0.905315e+01
 0.000000e+00 0.100000e+11 0.911624e+01
 0.000000e+00 0.100000e+11 0.917933e+01
 0.000000e+00 0.100000e+11 0.924241e+01
 0.000000e+00 0.100000e+11 0.930550e+01
 0.000000e+00 0.100000e+11 0.936859e+01
 0.000000e+00 0.100000e+11 0.943168e+01
 0.000000e+00 0.100000e+11 0.949477e+01
 0.000000e+00 0.100000e+11 0.955785e+01
 0.000000e+00 0.100000e+11 0.962094e+01
 0.000000e+00 0.100000e+11 0.968403e+01
 0.000000e+00 0.100000e+11 0.974712e+01
 0.000000e+00 0.100000e+11 0.981021e+01
 0.000000e+00 0.100000e+11 0.987330e+01
 0.000000e+00 0.100000e+11 0.993638e+01
 0.000000e+00 0.100000e+11 0.999947e+01
 0.000000e+00 0.100000e+11 0.100626e+02
 0.000000e+00 0.100000e+11 0.101256e+02
 0.000000e+00 0.100000e+11 0.101887e+02
