M_GeV T_GeV <S0>/T
1.000000000000000056e-01 1.000000000000000000e+02 4.328146428306487411e-06
1.000000000000000056e-01 1.023531021899025859e+02 3.739664610884469803e-06
1.000000000000000056e-01 1.047615752789664043e+02 3.221644229061785577e-06
1.000000000000000056e-01 1.072267222010323167e+02 2.766141917282548153e-06
1.000000000000000056e-01 1.097498765493055686e+02 2.366097051181834351e-06
1.000000000000000056e-01 1.123324032978026565e+02 2.015232507992185240e-06
1.000000000000000056e-01 1.149756995397735579e+02 1.707970350998622211e-06
1.000000000000000056e-01 1.176811952434997863e+02 1.439355461461240401e-06
1.000000000000000056e-01 1.204503540258782408e+02 1.204987149709696693e-06
1.000000000000000056e-01 1.232846739442065882e+02 1.000957376805855071e-06
1.000000000000000056e-01 1.261856883066019748e+02 8.237970373581583560e-07
1.000000000000000056e-01 1.291549665014883885e+02 6.704275281944675231e-07
1.000000000000000056e-01 1.321941148466028721e+02 5.381191934102738956e-07
1.000000000000000056e-01 1.353047774579807481e+02 4.244545466091669768e-07
1.000000000000000056e-01 1.384886371393873219e+02 3.272982381442126401e-07
1.000000000000000056e-01 1.417474162926804695e+02 2.447716931025753601e-07
1.000000000000000056e-01 1.450828778495940128e+02 1.752363526323960703e-07
1.000000000000000056e-01 1.484968262254465117e+02 1.172885059309041677e-07
1.000000000000000056e-01 1.519911082952933157e+02 6.978109906642065411e-08
1.000000000000000056e-01 1.555676143930472222e+02 3.193014678780423684e-08
1.000000000000000056e-01 1.592282793341092315e+02 3.972780089227561987e-09
1.000000000000000056e-01 1.629750834620643332e+02 2.905448560874745739e-08
1.000000000000000056e-01 1.668100537200059250e+02 2.228220343290657083e-08
1.000000000000000056e-01 1.707352647470690385e+02 1.857972204723604532e-08
1.000000000000000056e-01 1.747528400007682876e+02 1.616106689947696186e-08
1.000000000000000056e-01 1.788649529057435075e+02 1.131972097759882092e-08
1.000000000000000056e-01 1.830738280295367701e+02 1.003421182246937905e-08
1.000000000000000056e-01 1.873817422860383033e+02 9.356552263974855188e-09
1.000000000000000056e-01 1.917910261672488730e+02 9.324524678461171233e-09
1.000000000000000056e-01 1.963040650040270521e+02 9.602971093306984622e-09
1.000000000000000056e-01 2.009233002565045751e+02 9.630088186327638392e-09
1.000000000000000056e-01 2.056512308348651459e+02 9.192409751840504600e-09
1.000000000000000056e-01 2.104904144512019570e+02 9.481898422607161307e-09
1.000000000000000056e-01 2.154434690031882269e+02 9.050951527864962517e-09
1.000000000000000056e-01 2.205130739903045480e+02 8.770935758805707990e-09
1.000000000000000056e-01 2.257019719633919124e+02 8.372297794326385808e-09
1.000000000000000056e-01 2.310129700083157900e+02 7.991777245420556732e-09
1.000000000000000056e-01 2.364489412645407072e+02 7.598853648961262571e-09
1.000000000000000056e-01 2.420128264794381039e+02 7.253483666498563152e-09
1.000000000000000056e-01 2.477076355991711409e+02 6.856106034649189841e-09
1.000000000000000056e-01 2.535364493970111255e+02 6.544492550734654253e-09
1.000000000000000056e-01 2.595024211399737055e+02 6.247041748196560674e-09
1.000000000000000056e-01 2.656087782946686957e+02 5.894188692858340441e-09
1.000000000000000056e-01 2.718588242732940330e+02 5.626293595027609226e-09
1.000000000000000056e-01 2.782559402207126027e+02 5.308606053999815221e-09
1.000000000000000056e-01 2.848035868435802058e+02 5.067325439026437856e-09
1.000000000000000056e-01 2.915053062825175516e+02 4.837011070263498837e-09
1.000000000000000056e-01 2.983647240283340238e+02 4.567544045442258995e-09
1.000000000000000056e-01 3.053855508833415229e+02 4.359944743190879573e-09
1.000000000000000056e-01 3.125715849688235153e+02 4.121018120600642936e-09
1.000000000000000056e-01 3.199267137797384635e+02 3.933713538102013929e-09
1.000000000000000056e-01 3.274549162877728463e+02 3.732849159252675372e-09
1.000000000000000056e-01 3.351602650938841066e+02 3.563187038854289943e-09
1.000000000000000056e-01 3.430469286314919373e+02 3.401236178108153644e-09
1.000000000000000056e-01 3.511191734215130964e+02 3.229657563810059744e-09
1.000000000000000056e-01 3.593813663804625662e+02 3.082865835755386175e-09
1.000000000000000056e-01 3.678379771828634262e+02 2.929105439078067073e-09
1.000000000000000056e-01 3.764935806792467474e+02 2.795974037387862907e-09
1.000000000000000056e-01 3.853528593710527161e+02 2.668893576583517523e-09
1.000000000000000056e-01 3.944206059437656222e+02 2.537197549719589010e-09
1.000000000000000056e-01 4.037017258596553688e+02 2.421878712850646120e-09
1.000000000000000056e-01 4.132012400115334572e+02 2.303605261745741572e-09
1.000000000000000056e-01 4.229242874389498752e+02 2.198903421687175749e-09
1.000000000000000056e-01 4.328761281083056929e+02 2.098960391874903539e-09
1.000000000000000056e-01 4.430621457583877714e+02 1.997447015196087718e-09
1.000000000000000056e-01 4.534878508128581984e+02 1.906660395077429391e-09
1.000000000000000056e-01 4.641588833612777307e+02 1.815277024840554158e-09
1.000000000000000056e-01 4.750810162102798131e+02 1.732770230242021048e-09
1.000000000000000056e-01 4.862601580065353346e+02 1.654013468051553432e-09
1.000000000000000056e-01 4.977023564332108663e+02 1.575372713855088878e-09
1.000000000000000056e-01 5.094138014816380178e+02 1.503769852479093406e-09
1.000000000000000056e-01 5.214008287999683944e+02 1.432857390988719378e-09
1.000000000000000056e-01 5.336699231206307559e+02 1.367732026253538674e-09
1.000000000000000056e-01 5.462277217684342077e+02 1.305566687625589436e-09
1.000000000000000056e-01 5.590810182512223037e+02 1.244338795096875852e-09
1.000000000000000056e-01 5.722367659350220492e+02 1.187781837693752762e-09
1.000000000000000056e-01 5.857020818056666940e+02 1.132380736033658168e-09
1.000000000000000056e-01 5.994842503189408944e+02 1.080912416155984955e-09
1.000000000000000056e-01 6.135907273413175744e+02 1.031783397945490749e-09
1.000000000000000056e-01 6.280291441834252737e+02 9.840796457356873520e-10
1.000000000000000056e-01 6.428073117284319551e+02 9.393518066907380893e-10
1.000000000000000056e-01 6.579332246575681893e+02 8.959944723954356267e-10
1.000000000000000056e-01 6.734150657750820983e+02 8.552702226794652021e-10
1.000000000000000056e-01 6.892612104349694846e+02 8.163969456707345284e-10
1.000000000000000056e-01 7.054802310718645231e+02 7.789772612287304030e-10
1.000000000000000056e-01 7.220809018385464242e+02 7.435716046949789715e-10
1.000000000000000056e-01 7.390722033525775032e+02 7.096160399157302670e-10
1.000000000000000056e-01 7.564633275546290179e+02 6.773629474308555326e-10
1.000000000000000056e-01 7.742636826811269657e+02 6.465758059764982743e-10
1.000000000000000056e-01 7.924828983539168803e+02 6.171477076973541863e-10
1.000000000000000056e-01 8.111308307896872520e+02 5.890974316055180610e-10
1.000000000000000056e-01 8.302175681319744172e+02 5.623383065772003094e-10
1.000000000000000056e-01 8.497534359086438371e+02 5.367791936199138884e-10
1.000000000000000056e-01 8.697490026177833897e+02 5.123817817340356872e-10
1.000000000000000056e-01 8.902150854450383122e+02 4.892690726223527936e-10
1.000000000000000056e-01 9.111627561154896284e+02 4.670310626197125941e-10
1.000000000000000056e-01 9.326033468832199560e+02 4.459951350885446187e-10
1.000000000000000056e-01 9.545484566618337112e+02 4.257239885867504921e-10
1.000000000000000056e-01 9.770099572992256753e+02 4.063741953170548000e-10
1.000000000000000056e-01 1.000000000000000000e+03 3.880704282442952817e-10
1.000000000000000056e-01 1.000000000000000000e+03 3.880704282442952817e-10
1.000000000000000056e-01 1.097498765493055544e+03 3.223243625993261672e-10
1.000000000000000056e-01 1.204503540258781186e+03 2.679659310569354264e-10
1.000000000000000056e-01 1.321941148466028608e+03 2.228387206101506639e-10
1.000000000000000056e-01 1.450828778495938650e+03 1.851411599538036599e-10
1.000000000000000056e-01 1.592282793341090610e+03 1.540176871942854076e-10
1.000000000000000056e-01 1.747528400007682876e+03 1.279980563361312393e-10
1.000000000000000056e-01 1.917910261672486740e+03 1.064787640670939516e-10
1.000000000000000056e-01 2.104904144512019684e+03 8.863694474750561674e-11
1.000000000000000056e-01 2.310129700083157786e+03 7.363437579356240985e-11
1.000000000000000056e-01 2.535364493970108924e+03 6.128131893635188930e-11
1.000000000000000056e-01 2.782559402207123185e+03 5.092534555324061773e-11
1.000000000000000056e-01 3.053855508833412387e+03 4.239577441652995783e-11
1.000000000000000056e-01 3.351602650938840725e+03 3.529760531185269765e-11
1.000000000000000056e-01 3.678379771828630510e+03 2.931324289361903310e-11
1.000000000000000056e-01 4.037017258596553802e+03 2.443858985852265540e-11
1.000000000000000056e-01 4.430621457583877600e+03 2.031999877230955381e-11
1.000000000000000056e-01 4.862601580065348571e+03 1.688710825728481378e-11
1.000000000000000056e-01 5.336699231206307559e+03 1.405883172343684954e-11
1.000000000000000056e-01 5.857020818056661483e+03 1.167318807132090376e-11
1.000000000000000056e-01 6.428073117284318869e+03 9.714545590247937937e-12
1.000000000000000056e-01 7.054802310718638182e+03 8.085554519130127456e-12
1.000000000000000056e-01 7.742636826811270112e+03 6.717015362455405087e-12
1.000000000000000056e-01 8.497534359086437689e+03 5.589775962687832734e-12
1.000000000000000056e-01 9.326033468832189101e+03 4.646070529203044959e-12
1.000000000000000056e-01 1.023531021899026928e+04 3.864474121370623438e-12
1.000000000000000056e-01 1.123324032978026480e+04 3.216489562079738439e-12
1.000000000000000056e-01 1.232846739442065882e+04 2.673991646591404520e-12
1.000000000000000056e-01 1.353047774579807628e+04 2.224102074409871429e-12
1.000000000000000056e-01 1.484968262254463480e+04 1.847631776567391432e-12
1.000000000000000056e-01 1.629750834620643400e+04 1.537502395680029898e-12
1.000000000000000056e-01 1.788649529057435211e+04 1.279624212456254305e-12
1.000000000000000056e-01 1.963040650040268520e+04 1.063151071714038328e-12
1.000000000000000056e-01 2.154434690031882201e+04 8.843182203832704357e-13
1.000000000000000056e-01 2.364489412645406992e+04 7.350350145411295688e-13
1.000000000000000056e-01 2.595024211399731939e+04 6.113308760484665538e-13
1.000000000000000056e-01 2.848035868435799057e+04 5.085320408424880394e-13
