1.000000000000000000e+07,7.567873341556324158e+04,1.236873412212877724e-11,8.634672331491413934e+04,2.024280089165742535e-11,5.701803240084379213e+05,8.418450978068057063e-10,4.561442592067299296e-08,3.674571369128469220e-27
9.437880000000000000e+06,7.149557072326664638e+04,1.262737631391788425e-11,8.157781213305446727e+04,2.084905174020649629e-11,5.381293476352813886e+05,9.057127805326934011e-10,4.833122048666967037e-08,4.371025432371944038e-27
8.907350000000000000e+06,6.754377325950504746e+04,1.359579771842888710e-11,7.707247724858879519e+04,2.236417874646711586e-11,5.078795709056470660e+05,1.072214066536752040e-09,5.120987265648368639e-08,5.199494628989505924e-27
8.406650000000000000e+06,6.381067750585436443e+04,1.591773929950360317e-11,7.281630075032394961e+04,2.567248212384043909e-11,4.793306420825465466e+05,9.901543852190050938e-10,5.425993222112611249e-08,6.184972698560355900e-27
7.934100000000000000e+06,6.028415807528191363e+04,1.515379786033975835e-11,6.879547394687011547e+04,2.492055646240201844e-11,4.523867708715300541e+05,1.111454605447018808e-09,5.749161961743989296e-08,7.357218876523954686e-27
7.488100000000000000e+06,5.695264236671832623e+04,1.574224177547179142e-11,6.499682264491789101e+04,2.594333045977852343e-11,4.269567284207501216e+05,1.214194568024730966e-09,6.091588776949155569e-08,8.751687050349717211e-27
7.067180000000000000e+06,5.380546414506014116e+04,1.816458110373632309e-11,6.140820344907976687e+04,2.947158133348643715e-11,4.029566982225977117e+05,1.324163110033065205e-09,6.454402734990899697e-08,1.041041942972787391e-26
6.669920000000000000e+06,5.083242855026493635e+04,1.784178234979542111e-11,5.801800663149883621e+04,2.935316754897363892e-11,3.803057146710343659e+05,1.387794017566904209e-09,6.838826540749059548e-08,1.238353998836470626e-26
6.294990000000000000e+06,4.802380023939970124e+04,2.061116873078485751e-11,5.481514629619807965e+04,3.326350184640614625e-11,3.589279437829810777e+05,1.611442080907757239e-09,7.246147479292735624e-08,1.473063782795512440e-26
5.941130000000000000e+06,4.537049365294801100e+04,2.090919683689117326e-11,5.178927664142776484e+04,3.398711930396669119e-11,3.387515428376150667e+05,1.593626276250154930e-09,7.677735703590557893e-08,1.752263921392563763e-26
5.607170000000000000e+06,4.286399283059017034e+04,2.334331988620330985e-11,4.893069956598434510e+04,3.744046025493625314e-11,3.197098007370323758e+05,1.535873344063941018e-09,8.135017472392130724e-08,2.084373365319116690e-26
5.291980000000000000e+06,4.049609134996135981e+04,2.413666836484277487e-11,4.623006943047289678e+04,3.903996657363422721e-11,3.017382871046150103e+05,1.714114549430280791e-09,8.619538607604899618e-08,2.479431431100596296e-26
4.994510000000000000e+06,3.825915773414695286e+04,2.742559240207849267e-11,4.367869659819000663e+04,4.350341712256331251e-11,2.847771330063309870e+05,1.779000601009776538e-09,9.132913122743368876e-08,2.949361614201689175e-26
4.713750000000000000e+06,3.614584652522299439e+04,2.642956475635750525e-11,4.126821326851021149e+04,4.299192953056245346e-11,2.687687502294739243e+05,1.983294273861943201e-09,9.676886962752155227e-08,3.508383405555767051e-26
