1.000000000000000000e+07,7.567873329325811937e+04,2.487310254055192420e-04,8.634672310802046559e+04,3.946398832688424664e-04,5.701803143009305932e+05,8.691166182785620142e-03,4.561442582126135491e-08,6.749212739575394055e-20
9.437880000000000000e+06,7.149557059360506537e+04,2.634197237038455827e-04,8.157781191372031753e+04,4.179010845095809017e-04,5.381293374310227809e+05,9.108864692027349858e-03,4.833122036841694247e-08,8.028414084867243223e-20
8.907350000000000000e+06,6.754377312204336340e+04,2.789763839082791430e-04,7.707247701606425107e+04,4.425344435212480096e-04,5.078795601799590513e+05,9.546081434878953692e-03,5.120987251581869832e-08,9.550092206496269167e-20
8.406650000000000000e+06,6.381067736012358364e+04,2.954516372144872990e-04,7.281630050381613546e+04,4.686190840310140607e-04,4.793306308096191497e+05,1.000368041991930163e-02,5.425993205380174178e-08,1.136015397332341833e-19
7.934100000000000000e+06,6.028415792078385130e+04,3.128976708076047449e-04,6.879547368553681008e+04,4.962374431184510704e-04,4.523867590243217419e+05,1.048257791933703865e-02,5.749161941840403146e-08,1.351325920565953138e-19
7.488100000000000000e+06,5.695264220292476239e+04,3.313781134460390323e-04,6.499682236786618159e+04,5.254900293309840240e-04,4.269567159709199914e+05,1.098374717317220778e-02,6.091588753273328702e-08,1.607452728870974853e-19
7.067180000000000000e+06,5.380546397141108901e+04,3.509462608755738937e-04,6.140820315536274575e+04,5.564606857287375139e-04,4.029566851405004854e+05,1.150815649895754571e-02,6.454402706828037553e-08,1.912117860711196126e-19
6.669920000000000000e+06,5.083242836616717977e+04,3.716694265206263079e-04,5.801800632011378912e+04,5.892557132282885040e-04,3.803057009256486199e+05,1.205685360881823646e-02,6.838826507248815163e-08,2.274527760715204510e-19
6.294990000000000000e+06,4.802380004422285856e+04,3.936164959491381013e-04,5.481514596607920976e+04,6.239831054899999197e-04,3.589279293418408488e+05,1.263091802133027401e-02,7.246147439443619311e-08,2.705627365120601553e-19
5.941130000000000000e+06,4.537049344602473138e+04,4.168659137236361829e-04,5.178927629144691309e+04,6.607670538873023193e-04,3.387515276667041471e+05,1.323148325491428461e-02,7.677735656189298468e-08,3.218443947696415060e-19
5.607170000000000000e+06,4.286399261121351446e+04,4.414747918829988664e-04,4.893069919494639180e+04,6.996968762609228482e-04,3.197097848007995053e+05,1.385969522935864666e-02,8.135017416007816903e-08,3.828440886798527697e-19
5.291980000000000000e+06,4.049609111738023785e+04,4.675469340785661215e-04,4.623006903710816550e+04,7.409371030240809088e-04,3.017382703658464598e+05,1.451679421840101902e-02,8.619538540535201640e-08,4.554057743566048645e-19
4.994510000000000000e+06,3.825915748756594985e+04,4.951524435151470312e-04,4.367869618115403864e+04,7.845967629116865506e-04,2.847771154261298943e+05,1.520404021569858252e-02,9.132913042963613298e-08,5.417194816191676524e-19
4.713750000000000000e+06,3.614584626379772089e+04,5.243941906703367996e-04,4.126821282637561671e+04,8.308389176892789271e-04,2.687687317671153578e+05,1.592279193884781757e-02,9.676886867853303587e-08,6.443969535997138871e-19
4.448780000000000000e+06,3.414943541076881957e+04,5.553571754510559485e-04,3.899096414277265285e+04,8.797966771955705251e-04,2.536606627971662674e+05,1.667437767022311376e-02,1.025324367994924435e-07,7.665320629242193599e-19
4.198710000000000000e+06,3.226346954846595327e+04,5.881487487565140735e-04,3.683959765751152736e+04,9.316393194700946408e-04,2.394021624655286432e+05,1.746023293367337734e-02,1.086391423958820467e-07,9.118123613363318521e-19
3.962690000000000000e+06,3.048170990430345046e+04,6.228762665199416050e-04,3.480700799112967070e+04,9.865366350516973065e-04,2.259447654425890360e+05,1.828189103690207318e-02,1.151097494070100837e-07,1.084633007228158429e-18
3.739940000000000000e+06,2.879849419675370518e+04,6.596612280798952194e-04,3.288674466555459367e+04,1.044679554749233926e-03,2.132439976610236336e+05,1.914087134012150415e-02,1.219656604388245353e-07,1.290206448844664641e-18
3.529710000000000000e+06,2.720830824287097130e+04,6.986043901974156329e-04,3.107252636453659943e+04,1.106224831663098901e-03,2.012570955943274312e+05,2.003880473854421571e-02,1.292299512510537966e-07,1.534744325065897904e-18
3.331290000000000000e+06,2.570598736137220840e+04,7.398518596428229916e-04,2.935846990996565728e+04,1.171403817074643085e-03,1.899435756581522874e+05,2.097740406053122050e-02,1.369272114563179737e-07,1.825642713293276006e-18
3.144040000000000000e+06,2.428681690871706087e+04,7.835353965750007288e-04,2.773920639327990284e+04,1.240423668871086602e-03,1.792669478648602962e+05,2.195829505320036346e-02,1.450822028837153435e-07,2.171645450923909793e-18
2.967300000000000000e+06,2.294596607090796533e+04,8.298076433149277013e-04,2.620922995026360149e+04,1.313524503444880344e-03,1.691895795029152359e+05,2.298346826735704271e-02,1.537236706507893643e-07,2.583263692341711100e-18
2.800500000000000000e+06,2.167927651158486333e+04,8.788024532299742011e-04,2.476380467866377512e+04,1.390915814746350194e-03,1.596789703565475647e+05,2.405469660867792792e-02,1.628795738399207817e-07,3.072885497036170411e-18
2.643080000000000000e+06,2.048261063883654424e+04,9.306849083347606879e-04,2.339821790031322234e+04,1.472857439894779182e-03,1.507031902919264103e+05,2.517394520548257852e-02,1.725805669846846315e-07,3.655292894815053806e-18
2.494510000000000000e+06,1.935196370364032555e+04,9.856452693515708324e-04,2.210782680345477274e+04,1.559649838137543718e-03,1.422320197490816645e+05,2.634327040208650841e-02,1.828592562238236243e-07,4.348078322573504826e-18
